author_id,person_id,biography_id,display_order
4,13120,481,1
4,13121,482,1
4,10442,483,1
4,13122,484,1
4,13123,485,1
4,13124,486,1
4,13125,487,1
4,13126,488,1
4,13127,489,1
4,13128,490,1
6,84,11,1
6,9297,136,1
114,7473,1251,1
10,7815,549,1
10,8782,550,1
10,7601,551,1
10,10372,552,1
10,10482,553,1
10,10311,554,1
123,9983,1290,1
11,7918,519,1
11,7676,520,1
11,8355,521,1
11,7644,522,1
11,4379,523,1
11,13133,524,1
11,8028,525,1
11,4372,526,1
11,7895,527,1
11,8343,528,1
104,4086,1210,1
142,40,1442,1
12,8177,570,1
12,7719,571,1
12,10171,572,1
12,7874,618,1
12,8397,619,1
12,13147,620,1
115,13650,1252,1
115,7305,1254,1
115,6076,1337,1
115,12403,1338,1
115,7525,1339,1
115,13737,1341,1
115,13738,1342,1
115,8156,1343,1
115,13740,1344,1
115,13821,1404,1
115,13822,1405,1
115,13823,1406,1
115,13824,1407,1
115,13825,1408,1
120,8730,1262,1
118,13655,1257,1
118,5824,1272,1
85,7613,1101,1
19,8574,26,1
19,9169,118,1
19,6373,238,1
19,6770,240,1
19,8076,242,1
19,4002,246,1
19,8101,247,1
19,11565,252,1
19,8103,264,1
19,11597,265,1
19,6793,268,1
19,6690,282,1
19,6340,283,1
19,3778,284,1
19,2462,288,1
19,3782,289,1
19,2328,290,1
19,3783,291,1
19,3784,292,1
19,3785,293,1
19,3786,299,1
19,3788,301,1
19,3789,302,1
19,3791,303,1
19,3792,304,1
19,3793,305,1
19,3795,307,1
19,3794,308,1
19,11618,310,1
19,5137,311,1
19,13095,315,1
19,13097,316,1
19,13094,317,1
19,13098,318,1
19,13099,319,1
19,13100,320,1
19,13101,321,1
19,13096,322,1
19,8116,323,1
19,13102,324,1
19,13103,325,1
19,13104,326,1
19,13105,327,1
19,9750,328,1
19,13106,329,1
19,13107,330,1
19,13108,332,1
19,13109,333,1
19,13110,334,1
19,4285,335,1
19,29,336,1
19,3274,341,1
19,2592,342,1
19,2329,343,1
19,4631,344,1
19,4402,348,1
19,13111,349,1
19,4669,350,1
19,10794,351,1
19,7093,352,1
19,6953,353,1
19,2912,356,1
19,4535,357,1
19,3877,358,1
19,7240,361,1
19,13112,362,1
19,6286,363,1
19,6219,364,1
19,6910,365,1
19,6997,366,1
19,1637,367,1
19,5480,368,1
19,8099,370,1
19,7230,371,1
19,3743,372,1
19,5953,373,1
19,12817,374,1
19,2871,375,1
19,8086,376,1
19,1586,377,1
19,8342,378,1
19,13113,379,1
19,6872,380,1
19,5432,381,1
19,7083,382,1
19,5777,383,1
19,8106,384,1
19,9795,385,1
19,4730,386,1
19,5511,389,1
19,4092,390,1
19,4265,391,1
19,8105,392,1
19,7107,393,1
19,6110,395,1
19,7879,396,1
19,8128,397,1
19,2523,398,1
19,4276,399,1
19,5899,400,1
19,3225,401,1
19,2814,402,1
19,2952,403,1
19,3008,404,1
19,5902,405,1
19,2816,406,1
19,8097,407,1
19,8107,408,1
19,6466,409,1
19,2442,410,1
19,5729,411,1
19,6586,412,1
19,1728,413,1
19,6587,414,1
19,8108,415,1
19,6648,416,1
19,2327,417,1
19,8109,418,1
19,2872,419,1
19,5706,420,1
19,5796,421,1
19,4487,422,1
19,4488,423,1
19,4489,424,1
19,3173,425,1
19,4490,426,1
19,6536,427,1
19,6535,428,1
19,3171,429,1
19,4492,430,1
19,6526,431,1
19,4493,432,1
19,4494,433,1
19,4495,434,1
19,4496,435,1
19,4497,436,1
19,4498,437,1
19,5652,438,1
19,4499,439,1
19,4500,440,1
19,7937,441,1
19,5360,442,1
19,9523,444,1
19,2238,445,1
19,6818,446,1
19,2237,447,1
19,2235,448,1
19,4501,449,1
19,5901,450,1
19,5415,451,1
19,5381,452,1
19,5932,453,1
19,5371,454,1
19,5317,455,1
19,2819,456,1
19,5485,457,1
19,6646,458,1
19,6979,459,1
19,7182,460,1
19,11131,461,1
19,6498,462,1
19,9059,463,1
19,9058,464,1
19,9057,465,1
19,9055,466,1
19,4469,467,1
19,6738,468,1
19,4206,469,1
19,4277,470,1
19,4278,471,1
19,4279,472,1
19,4280,473,1
19,4282,474,1
19,6978,475,1
19,10497,479,1
19,2589,492,1
19,10573,493,1
19,2456,494,1
19,9056,495,1
19,2232,498,1
19,2781,499,1
19,2780,500,1
19,7870,501,1
19,9049,502,1
19,9050,503,1
19,9051,504,1
19,9053,505,1
19,7743,506,1
19,7152,511,1
19,10654,512,1
19,10656,513,1
19,10649,514,1
19,10659,515,1
19,10658,516,1
19,10572,517,1
19,7736,532,1
19,10571,533,1
19,13134,534,1
19,4028,535,1
19,8571,568,1
19,9923,569,1
19,8539,573,1
19,8580,574,1
19,2996,576,1
19,5500,581,1
19,8562,584,1
19,8609,585,1
19,8610,586,1
19,8563,587,1
19,8575,588,1
19,8549,592,1
19,3153,597,1
19,9190,598,1
19,8538,606,1
19,3020,607,1
19,10832,608,1
19,9383,609,1
19,10068,610,1
19,8578,611,1
19,10828,612,1
19,4259,621,1
19,4141,622,1
19,4314,623,1
19,2118,631,1
19,10673,632,1
19,10678,633,1
19,8618,634,1
19,10676,635,1
19,8631,636,1
19,8551,637,1
19,8630,638,1
19,8566,639,1
19,8629,640,1
19,8543,641,1
19,8596,642,1
19,8617,643,1
19,8603,644,1
19,8584,645,1
19,8616,646,1
19,13148,647,1
19,13149,648,1
19,11432,649,1
19,13150,650,1
19,10827,651,1
19,4986,652,1
19,4987,653,1
19,13151,654,1
19,13152,655,1
19,4659,656,1
19,9601,657,1
19,10413,659,1
19,8625,662,1
19,13157,663,1
19,8567,664,1
19,2784,668,1
19,8633,670,1
19,8585,671,1
19,8600,672,1
19,8583,673,1
19,8624,674,1
19,13163,676,1
19,13162,677,1
19,10422,678,1
19,9546,679,1
19,5791,689,1
19,10412,690,1
19,9213,691,1
19,9525,695,1
19,5164,701,1
19,9884,702,1
19,5166,703,1
19,8536,704,1
19,11487,705,1
19,11488,706,1
19,11491,707,1
19,11426,708,1
19,11489,709,1
19,9593,727,1
19,13169,728,1
19,13170,729,1
19,11490,730,1
19,9622,731,1
19,11444,736,1
19,5041,738,1
19,5044,739,1
19,11445,740,1
19,4125,742,1
19,11435,772,1
19,9588,773,1
19,11443,788,1
19,7559,789,1
19,12906,790,1
19,13178,791,1
19,5048,792,1
19,5078,793,1
19,5024,794,1
19,9589,795,1
19,9203,796,1
19,10169,804,1
19,9929,813,1
19,11427,814,1
19,13181,817,1
19,3010,833,1
19,8975,834,1
19,9052,835,1
19,5099,844,1
19,5115,845,1
19,5117,846,1
19,9513,848,1
19,13191,849,1
19,13190,850,1
19,13189,851,1
19,9935,852,1
19,5121,880,1
19,5120,881,1
19,5122,882,1
19,7232,895,1
19,7294,896,1
19,13183,897,1
19,8079,898,1
19,2896,899,1
19,5349,913,1
19,8085,983,1
19,13404,984,1
19,13423,985,1
19,10415,1099,1
19,10414,1100,1
19,3152,1193,1
96,13596,1187,1
56,11603,843,1
79,6412,976,1
26,7107,393,1
26,4642,507,1
26,3889,518,1
26,2788,530,1
26,4665,531,1
26,2436,537,1
26,3074,538,1
26,5426,539,1
26,6505,541,1
26,3977,546,1
26,3086,556,1
26,6529,557,1
26,2506,692,1
26,2758,693,1
26,2943,694,1
26,3712,712,1
26,3708,713,1
26,1575,714,1
26,9873,715,1
26,2755,716,1
26,13166,725,1
26,13167,726,1
26,13171,734,1
26,13173,735,1
26,5889,753,1
26,8069,754,1
26,7105,755,1
26,6731,756,1
26,6622,757,1
26,6760,758,1
26,4607,759,1
26,8184,760,1
26,4720,761,1
26,3769,762,1
26,6025,763,1
26,5910,764,1
26,3080,765,1
26,6045,784,1
26,7170,785,1
26,7171,786,1
26,7172,787,1
26,2392,798,1
26,2399,799,1
26,13179,800,1
26,2393,801,1
26,2441,805,1
26,10957,808,1
26,1564,809,1
26,6729,810,1
26,6635,811,1
26,6185,812,1
26,13195,839,1
26,6161,861,1
26,6502,862,1
26,6928,863,1
26,6198,864,1
26,6929,865,1
26,7876,866,1
26,7876,867,1
26,7877,868,1
26,2330,877,1
26,6935,878,1
26,6940,879,1
26,6580,903,1
26,9693,904,1
26,4380,905,1
26,4163,906,1
26,10394,907,1
26,13202,927,1
26,13203,928,1
26,13201,929,1
26,2469,930,1
26,6335,1039,1
26,6336,1040,1
26,6337,1041,1
26,6338,1042,1
26,5326,1044,1
26,2640,1045,1
26,2639,1046,1
26,4080,1047,1
26,9442,1048,1
26,6341,1049,1
26,6342,1050,1
26,6343,1051,1
26,6344,1052,1
26,6345,1053,1
26,6346,1054,1
26,3072,1055,1
26,13507,1056,1
26,6348,1059,1
26,6349,1060,1
26,13511,1064,1
26,13512,1065,1
26,2336,1066,1
26,13513,1067,1
26,6350,1070,1
26,6334,1071,1
26,13502,1072,1
26,7581,1073,1
26,13516,1074,1
26,13517,1075,1
26,13518,1076,1
26,2720,1082,1
26,6499,1083,1
26,13527,1084,1
26,13528,1085,1
26,6331,1089,1
26,13533,1090,1
26,13532,1091,1
26,11972,1092,1
26,13534,1093,1
26,13535,1094,1
26,13536,1095,1
26,13537,1096,1
26,13538,1097,1
26,13539,1098,1
26,12100,1103,1
26,13541,1104,1
26,13542,1105,1
26,13543,1106,1
26,13544,1107,1
26,6567,1108,1
26,6568,1110,1
26,6892,1111,1
26,13547,1114,1
26,6333,1115,1
26,6332,1116,1
26,9171,1117,1
26,6353,1118,1
26,11246,1122,1
26,11245,1123,1
26,11279,1124,1
26,8892,1125,1
26,11277,1126,1
26,13550,1127,1
26,11278,1128,1
26,3109,1129,1
26,5331,1130,1
26,2973,1132,1
26,13558,1133,1
26,12865,1134,1
26,8754,1135,1
26,13559,1136,1
26,13560,1137,1
26,5641,1138,1
26,13561,1139,1
26,13562,1140,1
26,13563,1141,1
26,13564,1142,1
26,7462,1143,1
26,7521,1144,1
26,4177,1149,1
26,8753,1151,1
26,6395,1152,1
26,5313,1153,1
26,2434,1154,1
26,2427,1155,1
26,5985,1156,1
26,6779,1157,1
26,6801,1158,1
26,6982,1159,1
26,8757,1164,1
26,10018,1170,1
26,13597,1189,1
26,9172,1190,1
26,13598,1191,1
26,3770,1192,1
26,13612,1196,1
26,13613,1197,1
26,5820,1243,1
26,6441,1244,1
26,7090,1245,1
26,5822,1246,1
61,5338,856,1
80,5795,978,1
80,2854,1178,1
80,5693,1205,1
80,7007,1268,1
80,13666,1269,1
80,5894,1275,1
80,3955,1276,1
80,8906,1284,1
80,2541,1285,1
80,7881,1288,1
80,7882,1289,1
80,13693,1298,1
80,13694,1299,1
80,8972,1403,1
80,2424,1409,1
116,9594,1255,1
116,10617,1261,1
82,11798,1057,1
82,9333,1058,1
82,2423,1061,1
82,13545,1112,1
82,13546,1113,1
82,13548,1120,1
82,13549,1121,1
82,276,1145,1
82,11796,1147,1
82,11790,1148,1
82,13566,1160,1
82,13583,1165,1
82,9305,1166,1
82,13611,1194,1
82,13615,1199,1
82,13616,1200,1
82,7929,1266,1
82,13723,1332,1
47,5801,775,1
47,3753,777,1
47,1852,797,1
47,11569,818,1
47,11575,819,1
47,1903,822,1
47,2029,823,1
47,1901,836,1
47,1902,837,1
47,9703,838,1
47,7169,869,1
47,11417,870,1
47,2730,872,1
47,5849,914,1
47,3762,916,1
47,5924,936,1
47,10898,937,1
47,5926,938,1
47,5928,939,1
47,5927,940,1
47,12264,941,1
47,12340,942,1
47,8126,1131,1
47,11285,1168,1
106,9945,1213,1
106,11741,1214,1
31,1871,510,1
31,6670,682,1
31,6667,683,1
31,3062,684,1
31,3061,685,1
31,8860,686,1
31,2527,687,1
31,8861,688,1
32,2340,228,1
32,2787,508,1
32,2949,529,1
32,2180,542,1
32,6548,543,1
32,9753,544,1
32,6493,547,1
32,5436,548,1
32,4727,555,1
32,10591,560,1
32,2926,561,1
32,5410,562,1
32,4524,563,1
32,6634,564,1
32,5490,565,1
32,2521,566,1
32,4077,613,1
32,2495,615,1
32,4196,616,1
32,2409,617,1
32,3758,696,1
32,1930,697,1
32,10452,698,1
32,10462,699,1
32,10470,700,1
32,2845,732,1
32,4221,743,1
32,4222,744,1
32,4223,745,1
32,5479,752,1
32,7105,755,1
32,2974,766,1
32,3064,778,1
32,13175,779,1
32,6099,780,1
32,3296,781,1
32,13176,782,1
32,13177,783,1
32,11632,815,1
32,11731,816,1
32,13168,820,1
32,3049,821,1
32,5790,826,1
32,6491,828,1
32,6895,829,1
32,3957,857,1
32,6393,858,1
32,4359,859,1
32,2181,860,1
32,10202,874,1
32,10623,885,1
32,4224,886,1
32,4225,887,1
32,4227,889,1
32,2483,891,1
32,13199,892,1
32,2578,893,1
32,2577,894,1
32,10548,922,1
32,1869,975,1
32,7545,1000,1
32,3188,1025,1
32,7348,1033,1
32,7582,1086,1
32,7681,1087,1
53,3307,803,1
130,13731,1340,1
132,13805,1355,1
39,8675,244,1
39,9254,245,1
39,9590,261,1
39,3883,266,1
46,9355,711,1
46,5897,751,1
46,7945,807,1
46,1831,824,1
46,12785,921,1
46,13204,932,1
46,10146,933,1
46,11003,934,1
46,7551,982,1
46,7732,1180,1
46,6470,1183,1
46,13697,1302,1
46,8507,1317,2
46,9047,1323,1
46,12171,1324,1
46,13809,1361,1
46,13811,1381,1
46,11428,1398,1
46,13828,1410,1
124,2162,1291,1
124,1659,1303,1
5,8181,12,1
5,8750,17,1
5,9612,20,1
5,4272,22,1
5,8825,23,1
5,8574,26,1
5,6065,96,1
5,3139,111,1
5,4626,129,1
5,5717,150,1
5,6285,151,1
5,2733,152,1
5,9990,154,1
5,5461,156,1
5,3125,159,1
5,6746,161,1
5,9839,163,1
5,2683,164,1
5,13067,165,1
5,13068,166,1
5,13069,167,1
5,13070,168,1
5,13072,171,1
5,6489,173,1
5,3175,174,1
5,5786,177,1
5,11141,178,1
5,1981,179,1
5,6452,180,1
5,2774,181,1
5,4349,183,1
5,3168,184,1
5,4630,185,1
5,4632,186,1
5,13073,187,1
5,9634,188,1
5,10536,189,1
5,9126,190,1
5,4291,198,1
5,13078,206,1
5,4267,207,1
5,11909,208,1
5,11942,209,1
5,8637,210,1
5,4352,211,1
5,3028,212,1
5,8361,213,1
5,4350,214,1
5,4348,215,1
5,11986,216,1
5,11441,217,1
5,11462,218,1
5,2338,227,1
5,5457,236,1
5,1726,248,1
5,6367,249,1
5,2104,250,1
5,5750,251,1
5,9788,253,1
5,5555,254,1
5,9789,256,1
5,6251,258,1
5,5437,259,1
5,6723,260,1
5,7024,276,1
5,2203,277,1
5,5406,278,1
5,5753,279,1
5,5401,280,1
5,7370,285,1
5,6100,294,1
5,1029,295,1
5,1035,296,1
5,7053,297,1
5,8868,312,1
5,9095,331,1
5,2598,337,1
5,2591,338,1
5,2638,339,1
5,2593,340,1
5,5817,347,1
5,5818,354,1
5,5819,355,1
5,11572,360,1
5,6175,369,1
5,3040,388,1
5,9201,575,1
5,7064,578,1
5,10892,579,1
5,6214,580,1
5,10199,582,1
5,2810,583,1
5,1908,589,1
5,13141,590,1
5,3200,591,1
5,3211,594,1
5,12547,596,1
5,2661,624,1
5,4140,625,1
5,2740,626,1
5,7130,627,1
5,11258,628,1
5,10580,666,1
5,3134,717,1
5,3730,718,1
5,3733,719,1
5,6419,720,1
5,3734,721,1
5,3735,722,1
5,3738,723,1
5,3739,724,1
5,10373,737,1
5,13180,802,1
5,6037,806,1
5,13182,840,1
5,6788,841,1
5,8459,871,1
5,1628,875,1
5,2504,883,1
5,6134,973,1
5,6122,986,1
5,7545,1000,1
5,13444,1016,1
5,13449,1021,1
5,13450,1022,1
5,13451,1023,1
5,4358,1031,1
5,13514,1068,1
5,13515,1069,1
5,13540,1102,1
5,8474,1119,1
5,10561,1173,1
5,7113,1206,1
5,10811,1208,1
5,6678,1217,1
5,10908,1218,1
5,10900,1219,1
5,10911,1220,1
5,10970,1221,1
5,10980,1222,1
5,10961,1223,1
5,13627,1224,1
5,13631,1225,1
5,10981,1226,1
5,10982,1227,1
5,3736,1229,1
5,13633,1231,1
5,13634,1232,1
5,3660,1233,1
5,13635,1234,1
5,13636,1235,1
5,13638,1236,1
5,13642,1237,1
5,6374,1238,1
5,5386,1241,1
5,1370,1247,1
5,11231,1263,1
5,12180,1265,1
5,13654,1270,1
5,13659,1271,1
5,13653,1273,1
5,13677,1277,1
5,12553,1278,1
5,4820,1279,1
5,13679,1280,1
5,12741,1281,1
5,11385,1282,1
5,13686,1287,1
5,13692,1296,1
5,12839,1297,1
5,8,1306,1
5,13699,1307,1
5,13700,1308,1
5,9343,1309,1
5,13701,1310,1
5,11290,1311,1
5,13702,1312,1
5,13703,1313,1
5,13704,1314,1
5,13706,1315,1
5,8507,1317,1
5,12500,1318,1
5,13707,1319,1
5,2069,1320,1
5,12743,1321,1
5,12742,1322,1
5,13718,1326,1
5,13719,1327,1
5,13720,1328,1
5,13721,1329,1
5,10355,1330,1
5,13747,1347,1
5,13748,1348,1
5,13749,1349,1
5,13750,1350,1
5,7297,1352,1
5,3822,1353,1
5,13745,1354,1
5,13788,1356,1
5,13787,1357,1
5,13803,1358,1
5,13794,1359,1
5,12479,1360,1
5,12745,1362,1
5,10203,1363,1
5,13249,1364,1
5,13246,1365,1
5,13797,1366,1
5,13795,1367,1
5,13796,1368,1
5,11158,1372,1
5,13806,1373,1
5,13793,1374,1
5,12613,1375,1
5,13647,1376,1
5,13798,1377,1
5,13248,1378,1
5,13789,1379,1
5,4310,1380,1
5,13790,1396,1
5,13791,1397,1
5,13863,1439,1
5,13869,1448,1
78,9394,974,1
111,13648,1248,1
111,13812,1382,1
21,4354,7,1
21,3178,224,1
144,13867,1446,1
144,13868,1447,1
60,10457,855,1
14,7622,359,1
14,7803,394,1
14,3000,540,1
14,13142,600,1
14,13143,601,1
14,13145,603,1
14,13146,604,1
14,4478,605,1
15,13057,9,1
15,9624,19,1
15,6681,27,1
15,10881,28,1
15,4903,29,1
15,13058,31,1
15,9141,32,1
15,10904,121,1
15,303,122,1
15,11117,123,1
15,1108,127,1
15,490,128,1
15,5281,130,1
15,86,131,1
15,9618,132,1
15,5234,133,1
15,96,134,1
15,6653,138,1
15,13077,204,1
89,7162,1167,1
137,12439,1394,3
36,4660,270,1
65,2997,890,1
109,10699,1230,1
64,13198,884,1
66,6668,900,1
34,5615,182,1
84,13519,1077,1
84,13520,1078,1
84,13521,1079,1
84,13522,1080,1
84,13523,1081,1
73,7069,926,1
73,13226,935,1
73,13425,987,1
73,9287,988,1
73,13426,989,1
73,13427,990,1
73,13428,991,1
73,6346,1054,1
73,13509,1062,1
73,6567,1108,1
73,6568,1110,1
73,6892,1111,1
73,6332,1116,1
73,3152,1193,1
73,13628,1228,1
73,13683,1283,1
73,13684,1286,1
73,13687,1292,1
73,13722,1331,1
73,13724,1333,1
73,9289,1334,1
73,13625,1335,1
73,13725,1336,1
73,13708,1369,1
73,1721,1389,1
73,1719,1390,1
73,1720,1391,1
86,4301,1109,1
29,2812,51,1
29,2670,52,1
29,3936,53,1
29,4167,54,1
29,4115,55,1
29,5858,56,1
29,4166,57,1
29,4168,58,1
29,4085,60,1
29,2823,61,1
29,13063,62,1
29,2790,63,1
29,2803,64,1
29,13064,65,1
29,4150,66,1
29,9482,67,1
29,11307,68,1
29,9030,69,1
29,13065,70,1
29,3939,71,1
29,6278,72,1
29,2712,73,1
29,4170,74,1
29,3673,75,1
29,726,76,1
29,4114,77,1
29,3940,78,1
29,2801,79,1
29,3937,80,1
29,4113,81,1
29,3938,82,1
29,4164,83,1
29,4119,84,1
16,2539,2,1
16,7673,4,1
16,8460,5,1
16,2584,6,1
16,4261,33,1
16,13061,34,1
16,3169,35,1
16,3182,37,1
16,3181,38,1
16,11877,39,1
16,6547,40,1
16,4175,41,1
16,4368,42,1
16,2899,43,1
16,5,44,1
16,11453,45,1
16,2798,46,1
16,3890,47,1
16,11471,48,1
16,11865,49,1
16,7637,50,1
16,2789,85,1
16,6749,86,1
16,2806,87,1
16,6405,88,1
16,2595,89,1
16,11898,90,1
16,10824,91,1
16,10531,97,1
16,7038,98,1
16,6671,99,1
16,3759,100,1
16,6620,101,1
16,6159,102,1
16,10258,103,1
16,3165,104,1
16,3881,105,1
16,7373,106,1
16,6756,107,1
16,13066,108,1
16,7636,109,1
16,3101,110,1
16,3469,112,1
16,6672,113,1
16,2799,175,1
51,5999,124,1
51,6010,825,1
97,10835,1195,1
92,2339,1172,1
127,13698,1305,1
127,2945,1371,1
127,13816,1393,1
75,5151,945,1
75,13227,946,1
75,5159,947,1
75,13228,948,1
75,13229,949,1
75,2314,992,1
75,3194,993,1
75,3204,994,1
75,3189,995,1
75,3191,996,1
75,4327,997,1
75,3208,998,1
75,1974,999,1
75,13452,1026,1
75,13453,1027,1
75,13454,1028,1
75,13455,1029,1
75,10613,1034,1
75,10633,1035,1
75,4249,1036,1
75,10753,1037,1
75,10742,1038,1
122,6194,1267,1
30,2916,142,1
30,2919,143,1
30,2915,146,1
30,2051,191,1
30,2137,192,1
30,2491,194,1
30,10683,195,1
30,6735,205,1
30,3141,219,1
30,2387,225,1
30,1898,226,1
30,2866,255,1
30,1985,267,1
30,1963,271,1
30,1820,272,1
30,4217,300,1
30,10507,306,1
30,4219,309,1
30,10528,313,1
30,4220,314,1
49,4228,750,1
49,10093,774,1
45,11866,710,1
45,11883,733,1
45,13186,827,1
108,9574,1216,1
63,10857,876,1
81,4302,1024,1
68,11299,908,1
68,3906,909,1
68,3907,911,1
68,7040,912,1
68,3902,923,1
68,3903,924,1
68,3904,925,1
68,13230,950,1
68,13231,951,1
68,5997,952,1
68,13232,953,1
68,13233,954,1
68,13234,955,1
68,13235,956,1
68,13236,957,1
68,13237,958,1
68,13238,959,1
68,13239,960,1
68,13240,961,1
68,13241,962,1
68,13242,963,1
68,61,967,1
68,620,968,1
68,6147,969,1
68,2561,970,1
68,2606,971,1
68,6578,972,1
68,12405,979,1
68,6721,980,1
68,6138,981,1
68,13429,1001,1
68,13430,1002,1
68,13431,1003,1
68,13432,1004,1
68,13433,1005,1
68,13434,1006,1
68,13435,1007,1
68,13436,1008,1
68,13437,1009,1
68,13438,1010,1
68,13439,1011,1
68,13440,1012,1
68,13441,1013,1
68,13442,1014,1
68,13443,1015,1
68,13445,1017,1
68,13446,1018,1
68,13447,1019,1
68,13448,1020,1
68,13449,1021,1
68,13450,1022,1
68,13451,1023,1
38,13075,200,1
38,13076,201,1
17,11352,193,1
119,5306,1259,1
25,2891,202,1
33,13074,197,1
107,23,1215,1
90,13588,1169,1
110,4622,1239,1
54,3006,147,1
27,3866,155,1
67,13205,901,1
67,13206,902,1
74,8651,943,1
74,8650,944,1
50,2662,776,1
129,5805,1316,1
129,13690,1383,1
113,5312,1249,1
71,7442,660,1
91,10546,1171,1
13,8923,10,1
13,8891,13,1
13,5588,14,1
13,4185,18,1
13,494,24,1
13,495,25,1
13,9579,30,1
13,8912,114,1
13,1754,115,1
13,6205,126,1
13,7429,141,1
13,3121,157,1
13,8472,158,1
13,7164,237,1
138,12439,1394,2
23,2280,199,1
23,13187,831,1
23,4691,1422,1
87,9572,1146,1
87,1639,1188,1
1,12096,220,1
1,2980,221,1
1,13079,229,1
1,13080,230,1
1,13081,231,1
1,13082,232,1
1,13083,233,1
1,13084,234,1
1,13086,257,1
1,13087,262,1
1,13088,263,1
1,13089,269,1
1,13090,273,1
1,13091,274,1
1,13092,281,1
1,13093,298,1
1,13115,443,1
1,13116,476,1
1,13117,477,1
1,13118,478,1
1,13119,480,1
1,13129,491,1
1,13131,497,1
1,13132,509,1
1,13135,545,1
1,13140,567,1
1,13174,741,1
1,13188,832,1
1,13220,918,1
1,13221,919,1
1,13222,920,1
1,13225,931,1
1,13531,1088,1
1,2987,1150,1
1,13574,1163,1
1,10561,1173,1
35,10815,140,1
35,4086,1210,1
43,9985,665,1
62,5338,856,1
44,6681,27,1
44,13164,680,1
44,13165,681,1
18,13139,558,1
18,4309,559,1
18,4000,577,1
18,8612,593,1
18,8986,599,1
18,3989,1032,1
8,2387,225,1
8,6257,241,1
8,5626,275,1
8,5408,286,1
8,7512,287,1
8,10644,888,1
8,7718,977,1
3,3414,345,1
3,6726,346,1
3,9062,658,1
3,7272,1030,1
3,10168,1175,1
3,5803,1176,1
3,7326,1177,1
3,10480,1182,1
3,2791,1185,1
3,7565,1186,1
3,8354,1250,1
3,12838,1253,1
3,13462,1301,1
3,2918,1455,1
136,9688,149,1
136,12981,1384,1
136,13815,1385,1
136,8456,1386,1
136,8455,1387,1
136,8454,1388,1
136,3627,1392,1
136,13819,1399,1
136,10320,1400,1
136,10319,1401,1
136,13836,1412,1
136,13837,1413,1
136,13838,1414,1
136,13839,1415,1
136,13840,1416,1
136,13841,1417,1
136,13842,1418,1
136,13843,1419,1
136,9895,1420,1
136,13850,1421,1
136,9105,1423,1
136,13853,1424,1
136,13860,1432,1
136,10647,1433,1
136,13861,1434,1
136,13862,1435,1
136,8592,1436,1
136,7254,1437,1
136,2992,1438,1
136,12982,1440,1
136,9083,1450,1
136,10019,1451,1
136,13882,1456,1
24,4425,196,1
131,13773,1351,1
112,13648,1248,2
77,9690,966,1
57,5328,873,1
141,11437,1411,1
99,11056,1203,1
76,10878,964,1
76,2665,965,1
40,8964,629,1
88,7641,1161,1
88,13572,1162,1
125,3266,1294,1
125,9761,1300,1
125,13855,1425,1
125,9764,1426,1
125,13856,1427,1
125,13857,1428,1
125,13858,1429,1
125,13859,1430,1
125,13870,1449,1
125,13877,1452,1
125,13878,1453,1
52,7767,830,1
55,3107,842,1
22,4611,387,1
93,10579,1174,1
59,9158,853,1
59,13197,854,1
20,8752,153,1
20,11632,815,1
20,11731,816,1
20,11183,1260,1
28,5644,223,1
28,2510,496,1
28,2776,536,1
2,10687,92,1
2,11114,93,1
2,12828,94,1
2,3085,95,1
2,13026,144,1
2,12521,145,1
2,12883,160,1
2,3744,162,1
2,8027,172,1
69,13217,915,1
37,2948,235,1
37,3889,518,1
37,3977,546,1
37,9712,669,1
37,2419,1184,1
140,13820,1402,1
139,12439,1394,1
117,13652,1256,1
143,13864,1443,1
143,13865,1444,1
143,13866,1445,1
121,2882,1264,1
126,13689,1295,1
126,13744,1346,1
7,6962,15,1
7,7114,16,1
7,4185,18,1
7,4676,21,1
7,8857,116,1
7,4043,117,1
7,9121,125,1
7,9372,137,1
7,10301,139,1
7,10315,170,1
7,1722,176,1
7,9646,203,1
105,9585,1212,1
105,9594,1255,1
105,10617,1261,1
105,3485,1304,1
105,3436,1431,1
83,13510,1063,1
83,9301,1274,1
83,2418,1325,1
9,9,135,1
9,10083,148,1
94,6874,1179,1
94,13614,1198,1
94,6009,1201,1
42,5871,661,1
41,6856,630,1
98,13617,1202,1
98,13688,1293,1
98,13817,1395,1
98,3417,1441,1
98,13879,1454,1
58,13196,847,1
48,2931,614,1
101,11572,360,2
101,9361,1204,1
135,13810,1370,1
103,6275,1207,1
103,10280,1209,1
103,5527,1211,1
103,6733,1240,1
70,7775,917,1
95,6351,1181,1
136,13883,1457,1
136,13884,1458,1