id,parent_id,child_id
3,13787,12479
4,13788,12479
5,13794,13788
6,13794,13246
7,13797,13647
8,13797,13794
9,7297,3822
10,7297,8158
11,7296,3822
12,7296,8158
13,13187,13615
14,13187,7561
15,5024,10169
16,2992,8539
18,9052,8975
19,13788,13745
20,13787,13789
21,13787,13790
22,13787,13249
23,13787,13745
24,13794,13795
25,4301,4300
26,4300,1628
27,8181,4440
28,8181,13692
29,8181,6
30,11428,13811
31,13813,12981
32,13658,12981
33,13815,12981
34,8456,8455
35,2314,8454
36,2917,2915
37,2917,2919
38,2917,6000
39,1698,2916
41,3628,3627
43,13817,8670
44,13617,13818
45,12992,11428
46,12993,11428
47,9688,12940
48,12940,13819
49,13820,13581
50,13739,2424
51,2424,13651
52,13843,10029
53,13703,13702
54,13853,13570
55,13853,13468
56,13853,13569
57,9083,8651
58,10019,10029
59,10019,6457
60,13817,13879
61,3780,3770