incarnation_lineages_id (PK),BDRC R ID,TOL R ID,Incarnation Name,Tradition 1,Tradition ID 1,Tradition 2,Tradition ID 2,Wylie,Tibetan,Chinese,BDRC G ID,TOL G ID,description
1,R11MS152,1,Adzom Drukpa,Nyingma,1,,,a 'dzom 'brug pa,ཨ་འཛོམ་འབྲུག་པ།,,G188,TOLG43,"<p>
        The Adzom Drukpa incarnation line has its seat at <a href=""/geographies/view/Adzom-Gar/TBRC_G188"">Adzom Gar</a> in Pelyul. The <a href=""/biographies/view/First-Adzom-Drukpa,-Drodul-Pawo-Dorje/TBRC_P6002"">First Adzom Drukpa, Drodul Pawo Dorje</a> was a major Nyingma figure of late nineteenth century Kham.</p>
"
2,R8LS13083,2,Amchok,Geluk,27,,,a mchog,ཨ་མཆོག།,,G393; G1962,"TOL480, TOL718","<p>
	The Amchok is a Geluk incarnation line which was established in the 18th century. The King of Amchok kingdom, covering much of southeast Amdo, gave the First Amchok Sonam Chopel his title. The line was established when the&nbsp;<a href=""/biographies/view/Second-Amchok-Konchok-Tenpai-Gyeltsen/TBRC_P2976"">Second Amchok Konchok Tenpai Gyeltsen</a>&nbsp;was recognized as the reincarnation of Sonam Chopel. The Amchok lamas&#39; seats were&nbsp;<a href=""/geographies/view/Amchok-Monastery/TBRC_G393"">Amchok Monastery</a>&nbsp;and&nbsp;<a href=""/geographies/view/Amchok-Tsenyi/TBRC_G1962"">Amchok Tsenyi</a>&nbsp;Monastery.</p>
"
3,R8LS13071,3,Amdo Zhamar,Geluk,27,,,a mdo zhwa dmar,ཨ་མདོ་ཞྭ་དམར།,,G271; G162; G1PD96117,"TOL401, TOL450, TOL375","<p>
	An important Geluk incarnation line in Amdo with seats at&nbsp;<a href=""/geographies/view/Lamo-Dechen/TBRC_G271"">Lamo Dechen</a>,&nbsp;<a href=""/geographies/view/Labrang-Tashikyil/TBRC_G162"">Labrang Tashikyil</a>&nbsp;and&nbsp;<a href=""/geographies/view/Ditsa/TBRC_G1PD96117"">Ditsa</a>&nbsp;monasteries. The line dates from the mid-17th century. Ditsa was founded in 1903 by the Fourth Amdo Zhamar&nbsp;<a href=""/biographies/view/Gendun-Tendzin-Gyatso/TBRC_P196"">Gendun Tendzin Gyatso</a>. The Sixth Amdo Zhamar,&nbsp;<a href=""/biographies/view/Lobzang-Jigme-Tendzin-Gyatso/TBRC_P8LS12692"">Lobzang Jigme Tendzin Gyatso</a>, was forced to spend much of his short life herding cattle due to the Cultural Revolution.</p>
"
4,R8LS13073,4,Belmang,Geluk,27,,,dbal mang ,དབལ་མང་།,,G162; G301,"TOL450, TOL361","<p>
	The&nbsp;<a href=""/biographies/view/First-Belmang,-Lobzang-Dondrub/TBRC_P3924"">First Belmang, Lobzang Dondrub</a>, was the ninth throne holder of&nbsp;<a href=""/geographies/view/Labrang/TBRC_G162"">Labrang</a>. A Geluk incarnation line, the line&#39;s seats were at Labrang Tashikyl and&nbsp;<a href=""/geographies/view/Shitsang/TBRC_G301"">Shitsang</a>&nbsp;monasteries. The line dates from the 18th century with the&nbsp;<a href=""/biographies/view/Second-Jamyang-Zhepa/TBRC_P169"">Second Jamyang Zhepa</a>&#39;s recognition of the&nbsp;<a href=""/biographies/view/Second-Belmang,-Konchok-Gyeltsen/TBRC_P176"">Second Belmang, Konchok Gyeltsen</a>, as the reincarnation of Lobzang Dondrub.</p>
<p>
	&nbsp;</p>
"
5,R-NUMBER,5,Belmang Chungwa,Geluk,27,,,dbal mang chung ba,དབལ་མང་ཆུང་བ།,,G162 ,TOLG41,"<p>
	A Geluk incarnation line, the Belmang Chungwa incarnations should not be confused with the Belmang incarnations. The <a href=""/biographies/view/Second-Belmang-Chungwa-Konchok-Chopel/TBRC_P1765"">Second Belmang Chungwa, Konchok Chopel</a> was recognized by the <a href=""/biographies/view/Second-Jamyang-Zhepa-Konchok-Jigme-Wangpo/TBRC_P169"">Second Jamyang Zhepa, Konchok Jigme Wangpo</a> as the reincarnation of a recently deceased teacher named Tashi Gyatso of the Tantric College at <a href=""/geographies/view/Labrang-Tashikyil/TBRC_G162"">Labrang Tashikyil</a>. Like the Belmang incarnations, the line&#39;s seat was also at Labrang.</p>
"
6,R8LS12788,6,Chakra,Geluk,27,,,lcags ra,ལྕགས་ར།,,G180,TOLG237,"<p>
	A Geluk incarnation line dating from the fifteenth century with its seat at <a href=""/geographies/view/Chamdo-Jampa-Ling/TBRC_G180"">Chamdo Jampa Ling</a> in Chamdo. The Chakra tulkus are said to be emanations of Vajrapāṇi. The <a href=""/biographies/view/First-Chakra-Tulku-Sanggye-Peljor/TBRC_2ag2"">First Chakra Tulku Sanggye Peljor</a> was the nephew and disciple of the <a href=""/biographies/view/First-Pakpa-Lha/TBRC_P427"">First Pakpa Lha</a>, whom he assisted in establishing numerous monasteries across Southeastern Tibet.</p>
"
7,R8LS13249,7,Chakri Nyidrak,Nyingma,1,,,chags ri nyi grags,ཆགས་རི་ཉི་གྲགས།,,G1KR1686,TOLG426,"<p>
	The Chakri Nyidrak line of incarnations, aslo known as the Nyitrul line, originated with <a href=""/biographies/view/Terchen-Nyima-Drakpa/TBRC_p425"">Terchen Nyima Drakpa</a>, the prolific seventeenth-century treasure revealer. The line&#39;s seats are at <a href=""/geographies/view/Tamogang-Kelzang-Puntsok-Ling/TBRC_g491"">Tamogang Kelzang Puntsok Ling</a> and <a href=""/geographies/view/Sindzong-Osel-Drubde-Chakri/TBRC_G1KR1686"">Sindzong Osel Drubde Chakri</a> monasteries.</p>
"
8,R8LS13162,8,Chaktsa,Nyingma,1,,,phyag tsha,ཕྱག་ཚ།,,G518,TOLG421,"<p>
	The Chaktsa incarnations were a Nyingma line based at <a href=""/geographies/view/Getse-Tralek-Monastery/TBRC_G518"">Getse Tralek Monastery</a>. Beginning with the <a href=""/biographies/view/Second-Chaktsa,-Kunzang-Tenpai-Nyinje/TBRC_P7986"">Second Chaktsa, Kunzang Tenpai Nyinje</a>, the lamas were enthroned at <a href=""/geographies/view/Katok-Dorjeden-Monastery/TBRC_G17"">Katok Dorjeden Monastery</a> and resided at their seat monastery of Getse Tralek. The line dates from the middle of the eightenth century in the person of <a href=""/biographies/view/Kunzang-Ngedon-Wangpo/TBRC_P10542"">Kunzang Ngedon Wangpo</a>.</p>
"
9,R8LS13058,9,Changkya,Geluk,27,,,lcang skya,ལྕང་སྐྱ།,,G165,TOLG156,"<p>
	The Changkya incarnation line is based at <a href=""/geographies/view/Gonlung-Jampa-Ling/TBRC_G165"">Gonlung Jampa Ling</a>, one of the four most important Geluk monasteries in Amdo. Many of the Changkya lamas had a close relationship with the Qing court. The <a href=""/biographies/view/Second-Changkya-Ngawang-Lobzang-Choden/TBRC_P209"">Second Changkya Ngawang Lobzang Choden</a> was a close teacher of the Kangxi Emperor and responsible for the initial spread of the Geluk tradition of Tibetan Buddhism in the high circles of the Qing dynasty. The <a href=""/biographies/view/Third-Changkya-Rolpai-Dorje/TBRC_P182"">Third Changkya Rolpai Dorje</a> served as the Qianlong emperor&#39;s main Buddhist translator, tutor, and National Preceptor.</p>
"
10,R8LS13109,10,Chesho,Geluk,27,,,che shos,ཆེ་ཤོས།,,G160,TOLG40,"<p>
	The Chesho Tulku is a Geluk incarnation line dating from the early eighteenth century with a seat at <a href=""/geographies/view/Kumbum-Jampaling/TBRC_G160"">Kumbum Jampaling</a> in Amdo. The line originated with <a href=""/biographies/view/Ngwawang-Shedrub-Tenpai-Nyima/TBRC_p283"">Ngwawang Shedrub Tenpai Nyima</a>, who was recognized as the reincarnation of <a href=""/biographies/view/Ngawang-Tenpa/TBRC_p1981"">Ngawang Tenpa</a>, the thirty-third abbot of Kumbum.</p>
"
11,,11,Chonyi Gyatso,Nyingma,1,,,chos nyid rgya mtsho,ཆོས་ཉིད་རྒྱ་མཚོ།,,G17,TOLG9,"<p>
	The Chonyi Gyatso incarnation line originated in the late seventeenth century with the <a href=""/biographies/view/First-Chonyi-Gyatso,-Chopa-Lugu/TBRC_p6054"">First Chonyi Gyatso, Chopa Lugu</a>, a minor but colorful figure associated with <a href=""/geographies/view/Katok-Monastery/TBRC_G17"">Katok Monastery</a> and the treasures of <a href=""/biographies/view/Longsel-Nyingpo/TBRC_P1686"">Longsel Nyingpo</a>. As his name indicates, he was a master of Chod. It appears that most of the Chonyi Gyatso incarnations studied or spent time at Katok but it is unclear if that was their seat.</p>
"
12,R8LS12876,12,Dalai Lama,Geluk,27,,,tA la'i bla ma,ཏཱ་ལའི་བླ་མ།,达赖喇嘛,G108,TOLG38,"<p>
	The Dalai Lamas are a Geluk incarnation line whose Ganden Podrang government ruled Tibet from the seventeenth to the mid-twentieth century. It was the <a href=""/biographies/view/Third-Dalai-Lama,-Sonam-Gyatso/TBRC_P999"">Third Dalai Lama, Sonam Gyatso</a>, who was given the title of Dalai Lama by the leader of the Tumet Mongols, Altan Khan, which was posthumously applied to his previous incarnations, <a href=""/biographies/view/Gendun-Drub/TBRC_P80"">Gendun Drub</a> and <a href=""/biographies/view/Gendun-Gyatso/TBRC_P84"">Gendun Gyatso</a>. The Fourth Dalai Lama&#39;s Mongolian heritage cemented the Geluk-Mongol alliance, and with the <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_p37"">Fifth Dalai Lama</a>, the governance of Tibet by the Dalai Lamas began. It was the Fifth who also shifted the Dalai Lama&rsquo;s residence from Ganden Podrang at <a href=""/geographies/view/Drepung-monastery/TBRC_G108"">Drepung Monastery</a> to the newly constructed Potala Palace in Lhasa, henceforth the seat of the Tibetan government. The <a href=""/biographies/view/Thirteen-Dalai-Lama/TBRC_P197"">Thirteenth Dalai Lama</a> declared independence from Beijing and ruled as head of a sovereign state. In 1950 Chinese forces occupied the country and the Fourteenth Dalai Lama fled to India, where he still lives in exile.</p>
"
13,R8LS13072,13,Detri,Geluk,27,,,sde khri,སྡེ་ཁྲི།,,G301; G162,"TOL361, 	TOL450","<p>
	The Detri incarnation line is a prominent Geluk tulku line of&nbsp;<a href=""/geographies/view/Labrang-Monastery/TBRC_G162"">Labrang Monastery</a>&nbsp;dating from the late 17th century. The title appears to be an abbreviation of Dewatsang (sde ba tshang) Throne holder (khri pa). The&nbsp;<a href=""/biographies/view/First-Detri/TBRC_P1177"">First Detri</a>&nbsp;was the third throneholder of Labrang. The Detri incarnations had their seats at&nbsp;<a href=""/geographies/view/Shitsang/TBRC_G301"">Shitsang</a>&nbsp;and Labrang monasteries.</p>
"
14,R8LS13169,14,Dodrubchen,Nyingma,1,,,rdo grub chen,རྡོ་གྲུབ་ཆེན།,,G375,TOLG48,"<p>
	The Dodrubchen incarnation line originated with <a href=""/biographies/view/Jigme-Trinle-Ozer/TBRC_P293"">Jigme Trinle Ozer</a>, a disciple of <a href=""/biographies/view/Jigme-Lingpa/TBRC_p314"">Jigme Lingpa</a> and the founder of&nbsp;<a href=""/geographies/view/Dodrubchen-monastery/TBRC_G375"">Dodrubchen Monastery</a>. The <a href=""http://beta.treasuryoflives.org/biographies/view/Second-Dodrubchen/TBRC_p2561"">Second Dodrubchen</a> moved the monastery to Golok. The line has been key promoters of the <em>Longchen Nyingtik</em> tradition of Dzogchen.</p>
"
15,R8LS12889,15,Dorje Drak Rigdzin,Nyingma,1,,,rdo rje brag rig 'dzin,རྡོ་རྗེ་བྲག་རིག་འཛིན།,,G11,TOLG11,"<p>
	The Dorje Drak Rigdzin is a Nyingma incarnation line with its seat at <a href=""/geographies/view/Dorje-Drak/TBRC_G11"">Dorje Drak</a>, one of the main Nyingma monasteries in Tibet. The line began when the <a href=""/biographies/view/Second-Dorje-Drak-Lekden-Dorje/TBRC_P1701"">Second Dorje Drak Lekden Dorje</a> was posthumously recognized as the reincarnation of <a href=""/biographies/view/Rigdzin-Godemchen/TBRC_P5254"">Rigdzin Godemchen</a> and given the title of the Second Dorje Drak in the 16th century. There is a separate enumeration that counts the <a href=""/biographies/view/Third-Dorje-Drak-Rigdzin-Ngakgi-Wangpo/TBRC_P639"">Third Dorje Drak Rigdzin Ngakgi Wangpo</a> as the First, the Fourth as the Second and so on.</p>
"
16,R8LS12868,16,Dorje Pakmo,Bodong,26,,,rdo rje phag mo,རྡོ་རྗེ་ཕག་མོ།,,G412,TOLG564,"<p>
	The Samding Dorje Pakmo is a long, powerful and influential female incarnation line. The line dates from the fifteenth century and has its seat at <a href=""/geographies/view/Samding-monastery/TBRC_G412"">Samding monastery</a> in Yardrok, established by the Second Dorje Pakmo. The first Dorje Pakmo was <a href=""/biographies/view/Chokyi-Dronma/TBRC_P2CZ7891"">Chokyi Dronma</a>, the daughter of a royal family from Gungtang, and one of the few women historically to receive full ordination and start an incarnation line. Chokyi Dronma&#39;s companion Delek Chodren located her rebirth in the person of <a href=""/biographies/view/Kunga-Zangmo/TBRC_P8LS12641"">Kunga Zangmo</a>, born in eastern Kongpo, thus initiating the incarnation line.</p>
"
17,R8LS13161,17,Drime Zhingkyong,Nyingma,1,,,dri med zhing skyong,དྲི་མེད་ཞིང་སྐྱོང་།,,G17,TOLG9,"<p>
	The Drime Zhingkyong incarnation line is based at <a href=""/geographies/view/Katok-monastery/TBRC_G17"">Katok monastery</a> in Kham. The line dates from the eighteenth century, when the <a href=""/biographies/view/Second-Drime-Zhingkyong,-Jigme-Rigdzin-Gonpo/TBRC_P5992"">Second Drime Zhingkyong, Jigme Rigdzin Gonpo</a> was recognized as the reincarnation of <a href=""/biographies/view/Gonpo-Pel-Chokyi-Dorje/TBRC_P5972"">Gonpo Pel Chokyi Dorje</a>. The Fourth Drime Zhingkyong, <a href=""/biographies/view/Jigme-Dechen-Dorje/TBRC_P6003"">Jigme Dechen Dorje</a> was the son of Powo Chodrak, the king of the Chakla kingdom.</p>
"
18,R8LS13413,18,Druk Lama Tripa ,Drukpa Kagyu,40,,,brug bla ma khri pa,བྲུག་བླ་མ་ཁྲི་པ།,,G218,TOLG308,"<p>
	The Druk Lama Tripa is a Bhutanese Drukpa Kagyu incarnation line with a seat at <a href=""/geographies/view/Tango/TBRC_G218"">Tango</a> monastery in Bhutan. The line began when <a href=""/biographies/view/Mipam-Wangpo/TBRC_P531"">Mipam Wangpo</a> was recognized in the early eighteenth century as the reincarnation of the Fourth Druk Desi, <a href=""/biographies/view/Tendzin-Rabgye/TBRC_P512"">Tendzin Rabgye</a>.</p>
"
19,R8LS13410,19,Druk Gyelse,Drukpa Kagyu,40,,,brug rgyal sras ,བྲུག་རྒྱལ་སྲས།,,G54,TOLG405,"<p>
	The Druk Gyelse incarnation line began when <a href=""/biographies/view/Gyelse-Kunga-Gyeltsen/TBRC_P521"">Gyelse Kunga Gyeltsen</a> was recognized in the 1690s as the reincarnation of <a href=""/biographies/view/Jampel-Dorje/TBRC_P4479"">Jampel Dorje</a>, the son of Bhutan&#39;s founder <a href=""/biographies/view/Zhabdrung-Ngawang-Namgyel/TBRC_P509"">Zhabdrung Ngawang Namgyel</a>. The line has its seat at <a href=""/geographies/view/Punakha-dzong/TBRC_G54"">Punakha Dzong</a>.</p>
"
20,R8LS12812,20,Drukchen,Drukpa Kagyu,40,,,brug chen,བྲུག་ཆེན།,,G3582; G46,"277, TOL1518 ","<p>
	The Drukchen incarnation line, also known as the Gyelwang Drukpa, originated in the fifteenth century when the Gya clan that controlled <a href=""/geographies/view/Ralung-Monastery/TBRC_G3582"">Ralung Monastery</a> identified a boy of the clan, <a href=""/biographies/view/Kunga-Peljor/TBRC_P920"">Kunga Peljor</a>, as the reincarnation of the monastery&#39;s founder, <a href=""/biographies/view/Tsangpa-Gyare-Yeshe-Dorje/TBRC_P909"">Tsangpa Gyare Yeshe Dorje</a>, and gave him the title of the Second Drukchen. The <a href=""/biographies/view/Third-Drukchen/TBRC_P870"">Third Drukchen</a> was found outside of the Gya clan, which continued to control Ralung, and henceforth the line was based elsewhere.</p>
"
21,R8LS13052,21,Dzogchen Drubwang,Nyingma,1,,,rdzogs chen grub dban,རྫོགས་ཆེན་གྲུབ་དབན།,,G16,TOLG12,"<p>
	The Dzogchen Drubwang incarnations are the heads of <a href=""/geographies/view/zogchen/TBRC_G16"">Dzogchen</a> Monastery in Derge, one of the six main Nyingma monasteries in Tibet. The line began in the seventeenth century with the treasure revealer <a href=""/biographies/view/Pema-Rigdzin/TBRC_P653"">Pema Rigdzin</a>, who established the Dzogchen Monastery, which became a center for the <em>Longchen Nyingtik</em> teachings. The fifth incarnation, <a href=""/biographies/view/Tubten Chokyi Dorje/TBRC_p701"">Tubten Chokyi Dorje</a>, established Dzogchen Monastery&rsquo;s monastic college, Śrī Siṃha.</p>
"
22,R8LS13178,22,Dzogchen Khyentse,Nyingma,1,,,rdzogs chen mkhyen brtse,རྫོགས་ཆེན་མཁྱེན་བརྩེ།,,G16,TOLG12,"<p>
	The Dzogchen Khyentse incarnations have their seat at <a href=""/geographies/view/Dzogchen-monastery/TBRC_G16"">Dzogchen Monastery</a> in Derge. The <a href=""/biographies/view/First-Dzogchen-Khyentse,-Guru-Tsewang/TBRC_P8692"">First Dzogchen Khyentse, Guru Tsewang</a> was identified as a child by the <a href=""/biographies/view/Fifth-Dzogchen-Drubwang/TBRC_P701"">Fifth Dzogchen Drubwang</a> as the mind-emanation of the famous master <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_P258"">Jamyang Khyentse Wangpo</a>, one of the most prominent lamas of the nineteenth century and teacher to most of the lamas of Kham in the second half of the nineteenth century.</p>
"
23,R8LS13056,23,Dzogchen Ponlop,Nyingma,1,,,rdzogs chen dpon slob,རྫོགས་ཆེན་དཔོན་སློབ།,,G16,TOLG12,"<p>
	The Dzogchen Ponlop are a Nyingma incarnation line based at <a href=""/geographies/view/Dzogchen-monastery/TBRC_G16"">Dzogchen monastery</a> in Derge. <a href=""/biographies/view/First-Dzogchen-Ponlop-Namkha-Osel/TBRC_P8137"">Namkha Osel</a>, who was posthumously identifiedf as the first in the line, assisted the <a href=""/biographies/view/First-Dzogchen-Drubwang-Pema-Rigdzin/TBRC_P653"">First Dzogchen Drubwang Pema Rigdzin</a> in establishing <a href=""/geographies/view/Dzogchen-Monastery/TBRC_g16"">Dzogchen Monastery</a> in 1684. The sixth incarnation, <a href=""/biographies/view/Jikdrel-Tsewang-Dorje/TBRC_P3Ag42"">Jikdrel Tsewang Dorje</a>, was the brother of the <a href=""/biographies/view/Sixteenth-Karmapa/TBRC_p865"">Sixteenth Karmapa</a>.</p>
"
24,R8LS13177,24,Dzogchen Kongtrul,Nyingma,1,,,rdzogs chen kong sprul,རྫོགས་ཆེན་ཀོང་སྤྲུལ།,,G16,TOLG12,"<p>
	The Dzogchen Kongtrul is a Nyingma incarnation line based at <a href=""/geographies/view/Dzogchen/TBRC_G16"">Dzogchen</a> Monastery in Kham. The <a href=""/biographies/view/First-Dzogchen-Kongtrul,-Konchok-Tenpai-Gyeltsen/TBRC_p3ag38"">First Dzogchen Kongtrul, Konchok Tenpai Gyeltsen</a>, was one of five recognized reincarnations of <a href=""/biographies/view/Jamgon-Kongtrul-Yonten-Gyatso/TBRC_p264"">Jamgon Kongtrul Yonten Gyatso</a>, a teacher of the <a href=""/biographies/view/Fifth-Dzogchen-Drubwang/TBRC_p701"">Fifth Dzogchen Drubwang</a>. Some enumerations of the incarnation line list Jamgon Kongtrul as the First and Konchok Tenpai Gyeltsen as the Second Dzogchen Kongtrul.</p>
"
25,R8LS13086,25,Gangkar,Karma Kagyu,24,,,gangs dkar,གངས་དཀར།,,G409,TOLG1429,"<p>
	The Gangkar line is a Karma Kagyu incarnation line that has its seat at Bo Gangkar Monastery, also known as Khamsum Drakgon, in Minyak. The line dates from the thirteenth century. The <a href=""/biographies/view/Ninth-Gangkar,-Karma-Shedrub-Chokyi-Sengge/TBRC_P1445"">Ninth Gangkar, Karma Shedrub Chokyi Sengge</a> was an accomplished teacher from Minyak who studied at <a href=""/geographies/view/Pelpung-Monastery/TBRC_G36"">Pelpung Monastery</a> in Kham. He taught the <a href=""/biographies/view/Sixteenth-Karmapa/TBRC_P865"">Sixteenth Karmapa</a> for about a year in U-Tsang, and worked as a teacher at the Central Nationalities University in Beijing.</p>
<p>
	&nbsp;</p>
"
26,,26,Gangteng,Nyingma,1,,,sgang steng,སྒང་སྟེང་།,,G183,TOLG382,"<p>
	The Gangteng incarnations are Bhutanese line with its seat at <a href=""/geographies/view/Gangteng-monastery/TBRC_G183"">Gangteng Monastery</a>, a Nyingma monastery of the Pema Lingpa tradition. The line was established in the mid-seventeenth century when the <a href=""/biographies/view/Second-Gangteng,-Tendzin-Lekpai-Dondrub/TBRC_P514"">Second Gangteng, Tendzin Lekpai Dondrub</a> &nbsp;was recognized as the reincarnation of terton <a href=""/biographies/view/Pema-Lingpa/TBRC_P1693"">Pema Lingpa</a>&#39;s grandson <a href=""/biographies/view/Gyelse-Pema-Trinle/TBRC_P2659"">Gyelse Pema Trinle</a>, subsequently known as the First Gangteng. Gyelse Pema Trinle was the lineage holder of Pema Lingpa in terms of his &#39;activity&#39; and established Gangteng monastery in the late sixteenth century.</p>
"
27,R8LS13173,27,Gemang,Nyingma,1,,,dge mang,དགེ་མང་།,,G16; G3954,"TOL12, TOL422","<p>
	The Gemang incarnation line is a Nyingma line that was established in the mid-nineteenth century when the Second Gemang, <a href=""/biographies/view/Tenpai-Nyima/TBRC_P3AG53"">Tenpai Nyima</a> was identified as a reincarnation of <a href=""/biographies/view/Gemang-Gyelse-Zhenpen-Taye-Ozer/TBRC_p697"">Gemang Gyelse Zhenpen Taye Ozer</a>, the founder of the renowned <a href=""/geographies/view/Śrī-Siṃha-College/TBRC_G3219"">Śrī Siṃha College</a> at <a href=""/geographies/view/Dzogchen-Monastery/TBRC_G16"">Dzogchen Monastery</a>.&nbsp; The line&#39;s seats were at Dzogchen and <a href=""/geographies/view/Gemang/TBRC_G3954"">Gemang</a> Monastery.</p>
"
28,R8LS13063,28,Gungtang,Geluk,27,,,gung thang,གུང་ཐང་།,,G162,TOLG41,"<p>
	The Gungtang incarnations is a Geluk line based at <a href=""/geographies/view/Labrang-Monastery/TBRC_G162"">Labrang Monastery</a> in Amdo. In the early eighteenth century, the Second Gungtang <a href=""/biographies/view/Ngawang-Tenpai-Gyeltsen/TBRC_P4649"">Ngawang Tenpai Gyeltsen</a>&nbsp; was recognized as the reincarnation of the <a href=""/biographies/view/Fiftieth-Ganden-Tripa,-Gendun-Puntsok/TBRC_P1849"">Fiftieth Ganden Tripa, Gendun Puntsok</a>, also known as Tri Gungtangpa. The Gungtang line has its primary seat at Labrang Tashikyil, where most of the Gungtang lamas have been abbots. The Third Gungtang, <a href=""/biographies/view/Kunchok-Tenpai-Dronme/TBRC_P298"">Kunchok Tenpai Dronme</a> was especially famous all over Tibet for his scholarship.</p>
"
29,R8LS12782,29,Gyara Tulku,Geluk,27,,,rgya ra sprul sku,རྒྱ་ར་སྤྲུལ་སྐུ།,,G1KR983 ,TOLG404,"<p>
	The Gyara Tulkus are said to be the reincarnation of Gyara Sanggye Yeshe, a disciple of <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a>. Their seat is at&nbsp;<a href=""/geographies/view/Drugu-monastery/TBRC_G1KR983"">Drugu monastery</a>&nbsp;in Kham. The line was established in the mid-16th century when the&nbsp;<a href=""/biographies/view/First-Gyara-Tulku,-Sherab-Puntsok/TBRC_P7107"">First Gyara Tulku, Sherab Puntsok</a>&nbsp;was born.</p>
"
30,R8LS12893,30,Tsurpu Gyeltsab,Karma Kagyu,24,,,mtshur phu rgyal tshab,མཚུར་ཕུ་རྒྱལ་ཚབ།,,G33,TOLG95,"<p>
	The Tsurpu Gyeltsab is an important Karma Kamtsang incarnation line established in the fifteenth century with a seat at <a href=""/geographies/view/Tsurpu-monastery/TBRC_G33"">Tsurpu Monastery</a>. The <a href=""/biographies/view/First-Tsurpu-Gyeltsab,-Peljor-Dondrub/TBRC_P1380"">First Tsurpu Gyeltsab, Peljor Dondrub</a>, was identified by the <a href=""/biographies/view/Sixth-Karmapa,-Tongwa-Donden/TBRC_P1006"">Sixth Karmapa, Tongwa Donden</a> as the reincarnation of <a href=""/biographies/view/Kharchen-Pelgyi-Wangchuk/TBRC_P0RK1217"">Kharchen Pelgyi Wangchuk</a>, one of the twenty-five disciples of Padmasambhava. The Sixth Karmapa appointed him the regent, or <em>gyeltsab</em> of his own seat at Tsurpu.</p>
"
