Incarnation Name,Incarnation BDRC ID,Incarnation TOL ID,Parent lineage TOL ID,Preceding incarnation member TOL ID,Incarnation Sequence,Ordinal,Person BDRC ID,Person TOL ID,Branched Lineage,New Seat Established,Notes,,,,
Ngago,R8LS13132,40,,,3,3,P1152,2409,FALSE,,Changed 2nd to 3rd based on BDRC data,,,,
Ngago,R8LS13132,40,,,4,4,P5041,7536,FALSE,,,,,,
Ngago,R8LS13132,40,,,5,5,P8LS12333,13766,FALSE,,,,,,
Ngago,R8LS13132,40,,,6,6,P8973,11737,FALSE,,,,,,
Ngago,R8LS13132,40,,,7,7,P8LS13130,13765,FALSE,,,,,,
Ngago,R8LS13132,40,,,8,8,P8LS13131,13764,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,1,1,P4122,6529,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,2,2,P5391,7908,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,3,3,P8LS12613,13716,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,4,4,P5394,7911,FALSE,,,,,,
Nyendrak,R8LS12858,41,,,5,5,P5395,7912,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,1,1,P6040,8616,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,2,2,P6011,8584,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,3,3,P6029,8603,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,4,4,P6041,8617,FALSE,,,,,,
Nyingon Choktrul,R8LS13252,42,,,5,5,P6022,8596,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,1,1,P427,6690,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,2,2,P395,6340,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,3,3,P2108,3778,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,4,4,P1079,2328,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,5,5,P120,2462,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,6,6,P2111,3782,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,7,7,P2112,3783,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,8,8,P2113,3784,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,9,9,P2114,3785,FALSE,,,,,,
Pakpa Lha,R8LS12860,43,,,10,10,P2115,3786,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,1,1,P55,8027,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,2,2,P4211,6626,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,3,3,P997,13026,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,4,4,P719,9839,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,5,5,P106,2180,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,6,6,P168,2985,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,7,7,P285,4589,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,8,8,P190,3230,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,9,9,P215,3822,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,10,10,P1650,2953,FALSE,,,,,,
Paṇchen Lama,R10MS14279,44,,,11,11,P8LS12000,13568,FALSE,,,,,,
Pawo,R8LS12784,45,,,1,1,P818,10878,FALSE,,,,,,
Pawo,R8LS12784,45,,,2,2,P319,5511,FALSE,,,,,,
Pawo,R8LS12784,45,,,3,3,P1385,2665,FALSE,,,,,,
Pawo,R8LS12784,45,,,4,4,P8383,11096,FALSE,,,,,,
Pawo,R8LS12784,45,,,5,5,P942,12223,FALSE,,,,,,
Pawo,R8LS12784,45,,,6,6,P823,10931,FALSE,,,,,,
Pawo,R8LS12784,45,,,7,7,P841,11125,FALSE,,,,,,
Pawo,R8LS12784,45,,,8,8,P1420,2704,FALSE,,,,,,
Pawo,R8LS12784,45,,,9,9,P1376,2656,FALSE,,,,,,
Pawo,R8LS12784,45,,,10,10,P868,11418,FALSE,,,,,,
Pawo,R8LS12784,45,,,11,11,P8LS12447,13243,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,1,1,P2652,4372,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,2,2,P2656,4376,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,3,3,P2741,4471,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,4,4,P658,9179,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,5,5,P2677,4399,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,6,6,P2685,4408,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,7,7,P2694,4418,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,8,8,P2706,4432,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,9,9,P2751,4482,FALSE,,,,,,
Peling Tukse,R8LS12890,46,,,10,10,P2AG33,13128,FALSE,,,,,,
Petseling,,47,,,1,1,P2AG28,13121,FALSE,,,,,,
Petseling,,47,,,2,2,P2AG32,13123,FALSE,,,,,,
Petseling,,47,,,3,3,P2AG30,13122,FALSE,,,,,,
Petseling,,47,,,4,4,P2AG35,13126,FALSE,,,,,,
Purchok,R8LS12862,48,,,1,1,P108,2329,FALSE,,,,,,
Purchok,R8LS12862,48,,,2,2,P1GS107885,3414,FALSE,,,,,,
Purchok,R8LS12862,48,,,3,3,P194,3274,FALSE,,,,,,
Purchok,R8LS12862,48,,,4,4,P00EGS109637,149,FALSE,,,,,,
Reting Rinpoche,R8LS12816,49,,,1,1,P412,6526,FALSE,,,,,,
Reting Rinpoche,R8LS12816,49,,,2,2,P304,5349,FALSE,,,,,,
Reting Rinpoche,R8LS12816,49,,,3,3,P191,3241,FALSE,,,,,,
Reting Rinpoche,R8LS12816,49,,,4,4,P8LS12558,13218,FALSE,,,,,,
Reting Rinpoche,R8LS12816,49,,,5,5,P212,6526,FALSE,,,,,,
Reting Rinpoche,R8LS12816,49,,,6,6,P9575,12387,FALSE,,,,,,
Riwoche Jedrung,,50,,,1,1,P3AG45,13067,FALSE,,,,,,
Riwoche Jedrung,,50,,,2,2,P3AG46,13068,FALSE,,,,,,
Riwoche Jedrung,,50,,,3,3,P3AG47,13071,FALSE,,,,,,
Riwoche Jedrung,,50,,,4,4,P3AG48,13069,FALSE,,,,,,
Riwoche Jedrung,,50,,,5,5,P3AG49,13070,FALSE,,,,,,
Riwoche Jedrung,,50,,,6,6,P3AG50,13154,FALSE,,,,,,
Riwoche Jedrung,,50,,,7,7,P7640,10315,FALSE,,,,,,
Rongwo Drubchen,R8LS13078,51,,,1,1,P711,9753,FALSE,,,,,,
Rongwo Drubchen,R8LS13078,51,,,2,2,P409,6493,FALSE,,,,,,
Rongwo Drubchen,R8LS13078,51,,,3,3,P312,5436,FALSE,,,,,,
Rongwo Drubchen,R8LS13078,51,,,4,4,P279,4524,FALSE,,,,,,
Rongwo Drubchen,R8LS13078,51,,,5,5,P4219,6634,FALSE,,,,,,
Rongwo Drubchen,R8LS13078,51,,,6,6,P3170,5490,FALSE,,,,,,
Rongwo Drubchen,R8LS13078,51,,,7,7,P1253,2521,FALSE,,,,,,
Seri Mani Pandita,,52,,,5,5,P7072,9712,FALSE,,,,,,
Setsang,R8LS13066,53,,,1,1,P410,6505,FALSE,,,,,,
Setsang,R8LS13066,53,,,2,2,P3681,6045,FALSE,,,,,,
Setsang,R8LS13066,53,,,3,3,P4705,7170,FALSE,,,,,,
Setsang,R8LS13066,53,,,4,4,P4706,7171,FALSE,,,,,,
Setsang,R8LS13066,53,,,5,5,P4707,7172,FALSE,,,,,,
Shardong,,54,,,5,5,P4704,7169,FALSE,,,,,,
Sodrak,R8LS13138,55,,,1,1,P4208,6622,FALSE,,,,,,
Sodrak,R8LS13138,55,,,2,2,P281,4546,FALSE,,,,,,
Sodrak,R8LS13138,55,,,3,3,P5371,7886,FALSE,,,,,,
Sodrak,R8LS13138,55,,,4,4,P5372,7887,FALSE,,,,,,
Sodrak,R8LS13138,55,,,5,5,P5373,7888,FALSE,,,,,,
Takpu,R8LS12799,56,,,1,1,P3600,5956,FALSE,,,,,,
Takpu,R8LS12799,56,,,2,2,P8LS12530,13194,FALSE,,,,,,
Takpu,R8LS12799,56,,,3,3,P3599,5953,FALSE,,,,,,
Takpu,R8LS12799,56,,,4,4,P231,4000,FALSE,,,,,,
Takpu,R8LS12799,56,,,5,5,P295,4698,FALSE,,,,,,
Takpu,R8LS12799,56,,,6,6,P8LS12531,13193,FALSE,,,,,,
Takpu,R8LS12799,56,,,7,7,P231,4000,FALSE,,,,,,
Takpu,R8LS12799,56,,,8,8,P8LS15285,13780,FALSE,,,,,,
Takpu,R8LS12799,56,,,9,9,P8LS15286,5696,FALSE,,,,,,
Takpu,R8LS12799,56,,,10,10,P7897,10576,FALSE,,,,,,
Taktser,,57,,,1,1,P1137,2392,FALSE,,,,,,
Taktser,,57,,,2,2,P1143,2399,FALSE,,,,,,
Taktser,,57,,,3,3,P8LS12079,13179,FALSE,,,,,,
Taktser,,57,,,4,4,P8LS12772,13180,FALSE,,,,,,
Taktser,,57,,,5,5,P1138,2393,FALSE,,,,,,
Taktser,,57,,,6,6,P1648,2950,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,1,1,P432,6746,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,2,2,P4493,6935,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,3,3,P4498,6940,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,4,4,P4362,6793,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,5,5,P1080,2330,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,6,6,P417,6580,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,7,7,P7054,9693,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,8,8,P302,5328,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,9,9,P266,4380,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,10,10,P246,4163,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,11,11,P7715,10394,FALSE,,,,,,
Tatsak Jedrung,R8LS12798,58,,,12,12,P8LS13193,13216,FALSE,,,,,,
Tewo Lungzang Nangwa,R8LS13418,59,,,1,1,P8LS13405,2926,FALSE,,,,,,
Tewo Lungzang Nangwa,R8LS13418,59,,,2,2,P8136,10831,FALSE,,,,,,
Tewo Lungzang Nangwa,R8LS13418,59,,,3,3,P9752,12576,FALSE,,,,,,
Tewo Lungzang Nangwa,R8LS13418,59,,,4,4,P9753,12577,FALSE,,,,,,
Tewo Lungzang Nangwa,R8LS13418,59,,,5,5,P9754,12578,FALSE,,,,,,
Tewo Lungzang Nangwa,R8LS13418,59,,,6,6,P9749,12572,FALSE,,,,,,
Tongkhor,R8LS13060,60,,,1,1,P2048,3712,TRUE,,"Separated these into two records (60, 118)when it splits", ,,,
Tongkhor,R8LS13060,60,,,2,2,P2043,3708,TRUE,,,,,,
Tongkhor,R8LS13060,60,,,3,3,P1004,1575,TRUE,,,,,,
Tongkhor,R8LS13060,60,,,4,4,P722,9873,TRUE,,,,,,
Tongkhor,R8LS13060,60,,,5,5,P1468,2755,TRUE,,,,,,
Tongkhor,R8LS13060,60,,,6,6,P1KG4775,13173,TRUE,,"this is the branch point, line separates into 118",,,,
Tongkhor,R8LS13060,60,,,7,7,P1PD102748,13167,TRUE,,,,,,
Tongkhor,R8LS13060,60,,,8,8,P1PD102803,13166,TRUE,,,,,,
Tongkhor,R8LS13060,60,,,9,9,P3AG62,13171,TRUE,,,,,,
Tongkhor,R8LS13060,60,,,10,10,P1KG5134,13172,TRUE,,,,,,
Trijang,,61,,,1,1,P306,5371,FALSE,,,,,,
Trijang,,61,,,2,2,P2569,4280,FALSE,,,,,,
Trijang,,61,,,3,3,P2596,4309,FALSE,,,,,,
Tsemonling,R8LS12872,62,,,1,1,P332,5652,FALSE,,,,,,
Tsemonling,R8LS12872,62,,,2,2,P4533,6979,FALSE,,,,,,
Tsemonling,R8LS12872,62,,,3,3,P4532,6978,FALSE,,,,,,
Tsemonling,R8LS12872,62,,,4,4,P5070,7568,FALSE,,,,,,
Tseten Zhabdrung,,63,,,6,6,P1646,2948,FALSE,,,,,,
Tsopu Drubchen,R8LS13254,64,,,1,,P5973,8541,FALSE,,,,,,
Tsopu Drubchen,R8LS13254,64,,,2,1,P6010,8583,FALSE,,,,,,
Tsopu Drubchen,R8LS13254,64,,,3,2,P8LS13253,13768,FALSE,,,,,,
Tsopu Drubchen,R8LS13254,64,,,4,3,P6046,8622,FALSE,,,,,,
Tukwan ,R8LS13059,65,,,1,1,P3548,5899,FALSE,,,,,,
Tukwan ,R8LS13059,65,,,2,2,P1896,3225,FALSE,,,,,,
Tukwan ,R8LS13059,65,,,3,3,P170,3008,FALSE,,,,,,
Tukwan ,R8LS13059,65,,,4,4,P327,5599,FALSE,,,,,,
Tukwan ,R8LS13059,65,,,5,5,P6470,9063,FALSE,,,,,,
Tukwan ,R8LS13059,65,,,6,6,P3550,5902,FALSE,,,,,,
Tukwan ,R8LS13059,65,,,7,7,P5365,7880,FALSE,,,,,,
Yolmo,,66,,,1,1,P1698,3005,FALSE,,,,,,
Yolmo,,66,,,2,2,P5600,8139,FALSE,,,,,,
Yolmo,,66,,,3,3,P1690,2997,FALSE,,,,,,
Yolmo,,66,,,4,4,P660,9202,FALSE,,,,,,
Yolmo,,66,,,5,5,P686,9480,FALSE,,,,,,
Zamtsa Sertri,R8LS13074,67,,,1,1,P2761,4493,FALSE,,BDRC ERROR HAS SHINGZA COMBINED,,,,
Zamtsa Sertri,R8LS13074,67,,,2,2,P6899,9523,FALSE,,,,,,
Zamtsa Sertri,R8LS13074,67,,,3,3,P324,2238,FALSE,,,,,,
Zamtsa Sertri,R8LS13074,67,,,4,4,P7548,6818,FALSE,,,,,,
Zamtsa Sertri,R8LS13074,67,,,5,5,P6209,2237,FALSE,,,,,,
Zamtsa Sertri,R8LS13074,67,,,6,6,P10649,2235,FALSE,,,,,,
Zamtsa Sertri,R8LS13074,67,,,7,7,P6783,9398,FALSE,,,,,,
Zhabdrung Karpo,R8LS13079,68,,,1,1,P4251,6670,FALSE,,,,,,
Zhabdrung Karpo,R8LS13079,68,,,2,2,P4249,6667,FALSE,,,,,,
Zhabdrung Karpo,R8LS13079,68,,,3,3,P1749,3062,FALSE,,,,,,
Zhabdrung Karpo,R8LS13079,68,,,4,4,P1748,3061,FALSE,,,,,,
Zhabdrung Karpo,R8LS13079,68,,,5,5,P6282,8860,FALSE,,,,,,
Zhabdrung Karpo,R8LS13079,68,,,6,6,P1259,2527,FALSE,,,,,,
Zhabdrung Karpo,R8LS13079,68,,,7,7,P6283,8861,FALSE,,,,,,
Zhabdrung Karpo,R8LS13079,68,,,8,8,P1KG12424,13758,FALSE,,,,,,
Zhabdrung Karpo,R8LS13079,68,,,9,9,P8LS13192,13759,FALSE,,,,,,
Zhabdrung Sungtrul,R8LS13407,69,,,1,,P509,7589,FALSE,,,,,,
Zhabdrung Sungtrul,R8LS13407,69,,,2,1,P773,10409,FALSE,,,,,,
Zhabdrung Sungtrul,R8LS13407,69,,,3,2,P536,7874,FALSE,,,,,,
Zhabdrung Sungtrul,R8LS13407,69,,,4,3,P567,8214,FALSE,,,,,,
Zhabdrung Sungtrul,R8LS13407,69,,,5,4,P581,8366,FALSE,,,,,,
Zhabdrung Sungtrul,R8LS13407,69,,,6,5,P584,8397,FALSE,,,,,,
Zhabdrung Sungtrul,R8LS13407,69,,,7,6,P8LS13406,13219,FALSE,,,,,,
Shechen Rabjam,R8LS13180,70,,,1,1,P661,9213,FALSE,,,,,,
Shechen Rabjam,R8LS13180,70,,,2,2,P690,9525,FALSE,,,,,,
Shechen Rabjam,R8LS13180,70,,,3,3,P2JM436,5164,FALSE,,,,,,
Shechen Rabjam,R8LS13180,70,,,4,4,P2JM438,5166,FALSE,,,,,,
Shechen Rabjam,R8LS13180,70,,,5,5,P723,9884,FALSE,,,,,,
Shechen Rabjam,R8LS13180,70,,,6,6,P745,10113,FALSE,,,,,,
Shechen Rabjam,R8LS13180,70,,,7,7,P624,8814,FALSE,,,,,,
Zhiwa lha,R8LS12813,71,,,1,1,P2118,3788,FALSE,,,,,,
Zhiwa lha,R8LS12813,71,,,2,2,P2119,3789,FALSE,,,,,,
Zhiwa lha,R8LS12813,71,,,3,3,P2120,3791,FALSE,,,,,,
Zhiwa lha,R8LS12813,71,,,4,4,P2121,3792,FALSE,,,,,,
Zhiwa lha,R8LS12813,71,,,5,5,P2122,3793,FALSE,,,,,,
Zhiwa lha,R8LS12813,71,,,6,6,P2123,3794,FALSE,,,,,,
Zhiwa lha,R8LS12813,71,,,7,7,P2124,3795,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,1,,P2169,3843,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,2,1,P70,9634,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,3,2,P1413,2596,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,4,3,P1010,1638,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,5,4,P317,5489,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,6,5,P1426,2710,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,7,6,P1432,2717,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,8,7,P1386,2666,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,9,8,P955,12360,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,10,9,P829,10995,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,11,10,P831,11018,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,13,12,P928,12071,FALSE,,,,,,
Zhamarpa,R8LS13050,72,,,14,13,P10570,2149,FALSE,,,,,,
Zhamarpa,R8LS13049,72,,,15,14,P853,11252,FALSE,,,,,,
Simda Dzogchen,R11MS247,73,,,1,1,P2JM424,5151,FALSE,,,,,,
Simda Dzogchen,R11MS247,73,,,2,2,P2JM431,5159,FALSE,,,,,,
Simda Dzogchen,R11MS247,73,,,3,3,P11MS244,13228,FALSE,,,,,,
Simda Dzogchen,R11MS247,73,,,4,4,P11MS245,13229,FALSE,,,,,,
Simda Dzogchen,R11MS247,73,,,5,5,P11MS246,13227,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,1,1,P3572,5924,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,2,2,P820,10898,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,3,3,P3574,5926,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,4,4,P3576,5928,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,5,5,P3575,5927,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,6,6,P946,12264,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,7,7,P953,12340,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,8,8,P956,12371,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,9,9,P559,8126,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,10,10,P1391,2672,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,11,11,P925,12040,FALSE,,,,,,
Tai Situ,R8LS13050,74,,,12,12,P855,11274,FALSE,,,,,,
Mindrol Nominhan,,75,,,1,1,P1731,3043,FALSE,,,,,,
Mindrol Nominhan,,75,,,2,2,P7051,9690,FALSE,,,,,,
Mindrol Nominhan,,75,,,4,4,P4994,7483,FALSE,,,,,,
Mindrol Nominhan,,75,,,5,5,P9214,12001,FALSE,,,,,,
Dzongkar Chungwa,R8LS13154,76,,,1,1,P4230,6647,FALSE,,,,,,
Dzongkar Chungwa,R8LS13154,76,,,2,2,P3808,6185,FALSE,,,,,,
Dzongkar Chungwa,R8LS13154,76,,,3,3,P3810,6188,FALSE,,,,,,
Dzongkar Chungwa,R8LS13154,76,,,4,4,P3800,6177,FALSE,,,,,,
Dzongkar Chungwa,R8LS13154,76,,,5,5,P3799,6174,FALSE,,,,,,
Dzongkar Chungwa,R8LS13154,76,,,6,6,P10679,2268,FALSE,,,,,,
Jamgon Kongtrul,R8LS13051,77,,,1,,P264,4358,TRUE,,,,,,
Penor,R8LS13166,79,,,1,1,P5083,7582,FALSE,,,,,,
Penor,R8LS13166,79,,,2,2,P7359,10018,FALSE,,,,,,
Penor,R8LS13166,79,,,3,3,P6387,8972,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,1,1,P9700,12523,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,2,2,P9701,12524,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,3,3,P9702,12525,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,4,4,P7584,10254,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,5,5,P9703,12526,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,6,6,P9704,12527,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,7,7,P9705,12528,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,8,8,P9706,12529,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,9,9,P9707,12530,FALSE,,,,,,
Zurmang Trungpa,R8LS13055,80,,,10,10,P9708,12531,FALSE,,,,,,
Pakchok,R8LS16682,81,,,1,1,P1AG48,13473,FALSE,,NO TOL BIOS - RECORD NOT FOUND ON BDRC,,,,
Pakchok,R8LS16682,81,,,2,2,P1AG49,13474,FALSE,,,,,,
Pakchok,R8LS16682,81,,,3,3,P1AG50,13475,FALSE,,,,,,
Pakchok,R8LS16682,81,,,4,4,P1AG51,13476,FALSE,,,,,,
Pakchok,R8LS16682,81,,,5,5,P1AG52,13477,FALSE,,,,,,
Pakchok,R8LS16682,81,,,6,6,P1AG53,13478,FALSE,,,,,,
