Name,TOL ID,Wylie,Tibetan,Chinese,En Name Variants,Wylie Name Variants,Tibetan Name Variants,Family Type Id,Family Type,Family Type Wylie,Family Type Tibetan,Family Type Chinese,Lhasa Aristocracy Type English,Lhasa Aristocracy Type Wylie,Lhasa Aristocracy Type Tibetan,Lhasa Aristocracy Type Chinese,Description,BDRC ID,Members
Adro,TOL598,a gro,ཨ་གྲོ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	One of the nine separate sub-clans of the Ga ancestral clan, also known as the Mu ancestral clan. <a href=""/biographies/view/Sonam-Chophel/TBRC_P8688"">Sonam Chophel</a>, the sixteenth abbot of Śrī Siṃha College at Dzogchen Monastery, was born in the district of Rudam in Kham to the Adro clan.</p>",C11MS164,11427
Akyong,TOL614,a skyong,ཨ་སྐྱོང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The name of Akyong is said to have been the name of the first head of the clan. His son Tenzin inherited his position and was appointed as chieftain by the Qing court, which included the duties of administrative leader, commander of the armed forces, and regulator and enforcer of the rules. When Tenzin's son Tsering Puntsok was in power, a new branch of the tribe formed, which came to be known as Gongma. Tsering Puntsok had two sons: Tsewang Bum, who had no sons of his own, and Danlong, who inherited his elder brother's position and passed it on to his own sons. The eldest of Danlong's four sons initiated the Khangsar family, which means &quot;new house,&quot; while the second son took charge of the main line of the Akyong clan and renamed it Khanggen, or &quot;old house.&quot; Danlong's fourth son was the first head of the Gongma, the name of which refers to the location of the family in the upper, or higher part of the valley. Together these three&mdash;Khangsar, Khanggen, and Gongma&mdash;made up the three divisions of the Akyong clan. <a href=""/biographies/view/Do-Khyentse-Yeshe-Dorje/TBRC_P698"">Do Khyentse Yeshe Dorje</a> was born into this clan in the nineteenth century.</p>",C11MS165,9612; 13864; 13868
Apang,TOL698,a phang,ཨ་ཕང་།,,,a paM; a pang,ཨ་པཾ་; ཨ་པང་།,4,clan,rigs,རིགས།,氏族,,,,,<p>We do not have more information on this clan.</p>,,8651
Arik,TOL600,a rig,ཨ་རིག།,,Sogwo Arik; Sokwo Arik; Arig; Ga Arik,sga a rig,སྒ་ཨ་རིག།,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Arik clan, known also as Sokwo Arik, is a large, traditionally nomadic group of Tibetan-speaking Mongols native to Amdo's Mount Amnye Machen, eastern Yarmotang and Drakar Treldzong, areas that are part of present-day Qinghai. In the 16th century, leaders of the Arik clan are said to have invited the <a href=""/biographies/view/Third-Dalai-Lama-Sonam-Gyatso-/TBRC_P999"">Third Dalai Lama Sonam Gyatso </a>to spread Buddhism in the area. </p>
<p>
        According to The Treasure of the Ancestral Clans of Tibet, based on the Golok Rudzod, the ancestral <a href=""/communities/view/Mu-clan/TBRC_C11MS138"">Mu clan</a> is also known by different names, such as dmu tsha sga, thang le sga, rmu, dmu and sga. They were said to hold the three vast plains of Kham Yarmotang, the Jang Karmotang and Tsongkha Lakyitang of Amdo. The Ga includes nine separate sub-clans including the Arik: Adro/ sga a gro, Arik/ sga arik, Adruk/ sga a &lsquo;brug, Atrom/a khrom and Ashing/ sga shing, established by the nine separate children of dmu tsha sga.</p>",C75,5479
Azha,TOL602,'a zha,འ་ཞ་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Azha kingdom settled around Lake Kokonor, and its people became known as the Azha. In the 7th century, King Songtsen Gampo defeated the Azha and subsumed them into the Tibetan empire. Thus the Azha became a new Tibetan clan or tribe. Songtsen's son Gungri Gungtsen's queen was Azha. Gene Smith notes in Among Tibetan Texts that the Se ancestral clan included the Azha.</p>",C11MS166,
Ba,TOL592,sba,སྦ།,,,dba,དབ།,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        A clan that supported the winning Indian side in the so-called Samye Debate in the 8th century. <a href=""/biographies/view/Ba-Selnang/TBRC_P5658"">Ba Selnang</a> of Ba clan, a figure in King Trisong Detsen's court, is thought to have written The Testament of Ba (sba bzhed), the earliest surviving history of Tibet.</p>",,
Ban,TOL601,ban,བན།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Ban clan originated from the ministers of Nyangro Chekar (myang ro mched dkar), one of the 12 kingdoms of Tibet's pre-imperial period. The Ban clan is a branch of the Drokmi clan. <a href=""/biographies/view/Drokmi-Lotsāwa/TBRC_P3285"">Drokmi Lotsāwa</a> was a member of this clan.</p>",C11MS168,5615
Begu,TOL649,be gu,བེ་གུ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Begu family lived on the Gyer estate in the Yarlung valley, where they were hereditary chiefs in the area, along with the Negu clan. The Begu family is of the Khangsar, or 'new house', family. In this lineage, the elder brother would become a monk and the head of the Trandruk temple while the younger brother would become a householder and inherit the non-religious post of his father, a general.</p>",C11MS137,5
Ber,TOL604,ber,བེར།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        We do not have much information about the Ber clan. Trulzhik Dombu, the second lineage holder of the <em>Nyengyu Rigpa Cherthong</em> cycle of Bon Dzogchen teaching, was born to the Ber clan.</p>",,13083
Bitsa,TOL683,sbi tsha,སྦི་ཚ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Bitsa clan was a prominent clan in the Golok region. The <a href=""/biographies/view/Tenth-Karmapa/TBRC_P1382"">Tenth Karmapa, Choying Dorje</a> was a member of this clan.</p>",C11MS213,
Bochung,TOL47,bo chung,བོ་ཆུང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Bochung clan is a sub-clan of the Mukpo clan. The <a href=""/biographies/view/First-Dodrubchen-Jigme-Trinle-Ozer/TBRC_P293"">First Dodrubchen, Jigme Trinle Ozer</a> was born into the Bochung clan.</p>",C11MS131,
Chakdu Nyarong,TOL1011,lcags mdud nyag rong,ལྕགས་མདུད་ཉག་རོང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Chakdu Nyarong family from Kham is associated with the Nyingma tradition. The First Tsopu Drubchen, <a href=""/biographies/view/Choying-Rangdrol/TBRC_P6010"">Choying Rangdrol</a>, was from this family.</p>",,8583
Chakgong,TOL211,lcag gong,ལྕག་གོང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan probably from Kham. <a href=""/biographies/view/Dzongsar-Khyentse-Chokyi-Lodro/TBRC_P733"">Dzongsar Khyentse Chokyi Lodro,</a> born in Derge in Kham, was of the Chakgong clan.</p>",,9990
Chakhung,TOL605,lcag khung,ལྕག་ཁུང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Chakhung is a clan from Golok. Khenpo <a href=""/biographies/view/Jigme-Puntsok/TBRC_P7774"">Jigme Puntsok</a> was born to the Chakhung clan in Dokhok, Golok region in 1933.</p>",C11MS197,10457
Che,TOL46,lce,ལྕེ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Che were one of the eighteen divisions of the ancestral clan of Go. During Tibet's imperial period, members of the Che were ministers and translators. Another prominent member was <a href=""/biographies/view/Chetsun-Sherab-Jungne/TBRC_p1AG32"">Chetsun Sherab Jungne</a> who founded <a href=""/geographies/view/Zhalu-Monastery-/TBRC_G275"">Zhalu Monastery </a>with the establishment of the Serkhang Tramo temple in 1027.</p>",C11MS198,495; 13456
Chim,TOL666,mchims,མཆིམས།,,,'chims,འཆིམས།,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Chim were a powerful clan during the time of the Yarlung dynasty. In pre-imperial times, there were said to be 12 kingdoms or principalities. The Chim, known also as 'chims, controlled one of these principalities, then called Chimyul or the land of the Chims and present-day Chim in Dranang dzong, TAR. King Trisong Detsen took a consort from the Chim clan. King Tride Songtsen's queen Lekmotsen (legs mo btsan) was also from the Chim clan, and the king also had a number of Chim zhang ministers (the word zhang standing for the queen's uncles) holding the highest rank in court.</p>",C80,
Cho,TOL659,,,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The clan of Cho lived in the <a href=""/geographies/view/Amnye-Machen/TBRC_G3214"">Amnye Machen</a> region known as Trika in Amdo in present day Qinghai. The region carries the name of a powerful spirit in the retinue of Machen Pomra, the patron deity of the region. <a href=""/biographies/view/Zhabkar-Tsokdruk-Rangdrol/TBRC_P287"">Zhabkar Tsokdruk Rangdrol</a>, one of Tibet's foremost yogis, was a member of the Cho clan.</p>",,
Chungpa,TOL147,gcung pa,གཅུང་པ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan in Tibet that was in existence by at least the 12th century. <a href=""/biographies/view/Lorepa-Wangchuk-Tsondru/TBRC_P4252"">Lorepa Wangchuk Tsondru</a> <span class=""biog-date-small"">(b.1187 - d.1250) </span>was of the Lonang branch of the Chungpa clan. According to the bod kyi gdung rus zhib 'jug, the Chungpa clan was from the Sok county area of the Tibet Autonomous Region.</p>",,
Dak,TOL281,dwags,དྭགས།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan from pre-imperial times. Before the time of the Yarlung dynasty, there were said to be 12 kingdoms or principalities. The Dak or Dakpo clan controlled one of these principalities called Dakyul Semo Druzhi. During Songtsen Gampo's time, the area the Dakpo clan lived in was part of Yoru. Now the area is part of Gyaza dzong and Lung dzong in the TAR. <a href=""/biographies/view/Gampopa-Sonam-Rinchen/TBRC_P1844"">Gampopa Sonam Rinchen</a>, also known as Dakpo Lhaje, was a prominent member of the Dakpo clan.</p>",C11MS184,3168; 8868
Dawa,TOL51,zla ba,ཟླ་བ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        According to the Golok Clan History, the Dawa or Da is one of the six original clans. These are the great clans of Se, Mu, Dong and Tong and the so-called inferior clans of Ba and Da. All the ordinary people are said to derive from the lines of Ba and Da. Some people speak of a seventh lineage, the Go clan-- the Ba clan is said to have been founded by the descendants of the uncle line of the Go clan while the Da clan is said to have been founded by the descendants of the nephew line. <a href=""/biographies/view/Do-Khyentse-Yeshe-Dorje/TBRC_P698"">Do Khyentse Yeshe Dorje</a>'s mother was from the Dawa clan.</p>",,9612
Den Atub Tsang,TOL967,'dan a thub tshang,འདན་ཨ་ཐུབ་ཚང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Den Atub Tsang family was from the town of Den in Kham. Brothers <a href=""/biographies/view/Jikdrel-Tsewang-Dorje/TBRC_P3AG42"">Jikdrel Tsewang Dorje</a> and <a href=""/biographies/view/Rangjung-Rigpai-Dorje/TBRC_P865"">Rangjung Rigpai Dorje</a>  (the Sixth Dzogchen Ponlob and Sixteenth Karmapa, respectively) were from this family.</p>",,11385; 13152
Denma,TOL658,ldan ma,ལྡན་མ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	<span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">The Denma clan originated in the time of the Yarlung dynasty, during the reign of Tibet's Eighth King Tri Songdetsen. Denma is one of the three lineages of the East, as classified in one fifteenth century text. The place Denma, which must be associated with the lineage, is in Kham. </span></p>",,
Depa Tonpo,TOL606,sde pa mthon po,སྡེ་པ་མཐོན་པོ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Depa Tonpo clan ruled over other families in the Uru Penpo region during the seventeenth century. The <a href=""/biographies/view/First-Zhechen-Rabjam,-Tenpai-Gyeltsen/TBRC_P661"">First Zhechen Rabjam, Tenpai Gyeltsen</a>, was born into this family. </p>",C11MS219,9213
Dilgo,TOL975,dil mgo,དིལ་མགོ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Dilgo family was based in the Derge region of Kham. The family claimed descent from King Tri Songdetsen. They were a main supporter of <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_p258"">Jamyang Khyentse Wangpo</a>, whose reincarnation, <a href=""/biographies/view/Dilgo-Khyentse/TBRC_P975"">Dilgo Khyentse</a>, was born into their family.</p>",,8825
Dong,TOL131,ldong,ལྡོང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	One of the Four Great Ancestral Clans along with Se, Mu and Tong (Sekhyung Dra, Mutsa Ga and Athang Dru, respectively) or the Five Great Ancestral Clans if Zhingbo Go is included. According to the Treasure of the Ancestral Clans of Tibet, Dong is further divided into Karpo Dong, Nakpo Dong, Trapo Dong and Mukpo Dong. There are eighteen sub-clans of the Dong, which include the Toktsa, Moktsa and Gotsa. A large number of Dong people are Bonpo. Donggom Zhikpo, the 13th century lineage holder of the <em>Nyengyu Rigpa Chertong</em> tradition of Bon Dzogchen belonged to the sub-family of Wang-yak belonging to the Dong clan.</p>
<p>
	According to the 15<sup>th</sup> century bshad mdzod chen mo, the eighteen sub-clans of Dong are: cog, cog tse, cog ro or chog ro, &lsquo;brong or possibly &lsquo;brom, khyung po, zla ba, &lsquo;bring, lha lung, lha rtse, brang, &lsquo;gos or mgos, khu na, nya or nyang, tshe pong, lu nag, snying or snyi, pho gong or pho yong, and thag bzang.</p>",C71,6110
Dra,TOL619,sbra,སྦྲ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	Also known as Sekhyung Dra. One of the Four Great Ancestral Clans with Mutsa Ga, Apo Dong and Athang Dru (and one of the Five Great Ancestral Clans if Zhingbo Go is also included). The ancestral clan Dra is composed of: Drakar, Dratra and the Dranak and has many branches such as the Chedruk, the Chukdruk and the Tsendruk. Drakar has 12 branches, although some people also speak of 6 branches instead. Dra is the principal clan from which the people of Zhang Zhung were descended.</p>",C11MS169,2980
Drangti,TOL820,brang ti,བྲང་ཏི།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Drangti clan trace their origin to the Yarlung dynasty, during the time of Tibet's eighth king <a href=""/biographies/view/Tri-Songdetsen/TBRC_P7787"">Tri Songdetsen</a>. The family  controlled the <a href=""/geographies/view/Tartse-Labrang/TBRC_G2CN10992"">Tartse Labrang</a> of <a href=""/geographies/view/Ngor-Monastery/TBRC_g211"">Ngor Monastery</a> beginning in the sixteenth century, and produced numerous abbots of the monastery.<br />
	 </p>",C11MS171,7718; 10452; 13246; 13788; 13794; 13795; 13797
Dre,TOL54,'bre,འབྲེ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	<a href=""/biographies/view/Gyelwai-Lodro/TBRC_P3AG58"">Gyelwai Lodro</a>, counted as one of Padmasambhava's twenty-five disciples, belonged to this clan. We do not have any more information about this clan. </p>",C11MS172,13057
Drenka,TOL69,bran ka,བྲན་ཀ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Drenka clan originated in the Yarlung dynasty period, in the reign of Tibet's fortieth King <a href=""/biographies/view/Mutik-Tsenpo/TBRC_P2MS13217"">Mutik Tsenpo</a>. His minister Drenka Yonten was from the Drenka clan. This clan seems to have settled around Penyul in central Tibet. <a href=""/biographies/view/Barompa-Darma-Wangchuk/TBRC_P1856"">Barompa Darma Wangchuk</a> also belonged to this clan.</p>",C11MS170,
Dro,TOL264,gro,གྲོ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	One of the most important and early clans, the aristocratic Dro were based in the border area east of Kokonor. The Empress Trimalo Triteng or Trimolek (khri mo legs), the de facto regent of the Tibetan empire in the latter half of the 7th century, was from the Dro clan. Emperor Trisong Detsen also had a consort from the Dro clan. The clan was granted a zhang minister post, so the clan was very powerful in imperial times. They had a fierce rivalry with the Wa clan. The Dro wanted peace between China and Tibet and were devoted to Chinese Buddhism whereas the Wa were devoted to Indian Buddhism.</p>",C11MS186,3957; 9590; 13509; 13869
Drokmi,TOL166,'brog mi,འབྲོག་མི།,,Drogmi,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Drokmi clan dates back to the time of the Yarlung dynasty. <span class=""biog-name-large""><a href=""/biographies/view/Drokmi-Pelgyi-Yeshe/TBRC_P8402"">Drokmi Pelgyi Yeshe</a> was born into this clan in the eighth</span><span class=""biog-date-small""> century, and in the eleventh century, </span><a href=""/biographies/view/Drokmi-Lotsawa/TBRC_P3285"">Drokmi Lotsawa</a> was born into the Ban branch of the Drokmi clan.</p>",C11MS173,5615; 11117; 13077
Drom,TOL238,'brom,འབྲོམ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Drom were one of the 18 divisions of the ancestral clan of Go. They were to be found in Tolung in central Tibet. <span class=""biog-name-large""><a href=""/biographies/view/Dromton-Gyelwa-Jungne/TBRC_P2557"">Dromton Gyelwa Jungne</a> </span><span class=""biog-date-small"">(b.1004? - d.1064</span>), one of the primary disciples of Atisha, was born into this clan.</p>",C11MS136,4267; 8730; 10687
Dru ('bru),TOL1156,'bru,འབྲུ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Dru clan dates back to the time of its early ancestor Dru Takgo. The Nangchen royal family belongs to this clan. The originator of the family, <a href=""/biographies/view/Trewo-Alu/TBRC_P1TD30"">Trewo Alu</a>, is considered to be the forty-fourth generation since Dru Takgo.</p>",,10561; 13572
Dru ('dru),TOL607,'dru,འདྲུ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Dru clan is one of the six early clans of Tibet. Dru was an important family of Bon supporters believed to have originated in Drusha (Gilgit), which was annexed by Tibet for a time beginning in the eighth century. The Dru palace, Namtong, was located in Tobgyel to the east of Shigatse and north of the Tsangpo river. Members of the Dru family were influential in promoting the study of philosophy through the <em>Dzopuk</em>, a Bon text, a treasure text revealed by Shenchen Luga.  Dru descendant Druje Yungdrung founded Yeru Wensaka monastery, which was to form the model of instruction and conduct for the later <a href=""/geographies/view/Menri/TBRC_G4"">Menri</a> monastery.  The <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_P37"">Fifth Dalai Lama</a> recognized the <a href=""/biographies/view/The Fifth Paṇchen Lama, Lobzang Yeshe/TBRC_P106"">Fifth Paṇchen Lama, Lobzang Yeshe</a>, the reincarnation of his teacher, the <a href=""/biographies/view/Fourth-Paṇchen-Lama,-Lobzang-Chokyi-Gyeltsen/TBRC_P719"">Fourth Paṇchen Lama, Lobzang Chokyi Gyeltsen</a>, in the Dru family, leading to the transfer of their estate and wealth to Gelukpas. Eventually the entire family became followers the Geluk tradition. Until 1959, the Bon traditions of the Dru family were continuously followed in Tibet at <a href=""/geographies/view/Menri/TBRC_G4"">Menri</a>, and thereafter reestablished in India and Nepal. </p>",C11MS141,2180; 13135; 13174
Drumpa,TOL1519,bhruM pa,བྷྲུཾ་པ།,,"Trumpa, Dakpo Drumpa",,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Drumpa family, also known as Dakpo Drumpa, was originally from the Dakpo region where they managed large estates. They also had a home in Lhasa located south of the Jokhang.The Thirteenth Dalai Lama's elder brother, <a href=""/biographies/view/Langdun-Lobzang-Tashi/TBRC_P6682"">Langdun Lobzang Tashi</a>, took over the family in the late 1800s by marrying a daughter from the family. Lobzang Tashi's son, Drumpa Namgyel Gyeltsen, served in the military and was Commander in Chief from 1925-1929. The Dalai Lama appointed the former Nechung Oracle, Lhalungpa Gyeltsen Tarchin, to manage the Lhasa household and Dakpo estates of the Drumpa family when Namgyel Gyeltsen fell ill and subsequetly died in 1930.</p>",C31,9289; 13722
Dzeng,TOL622,'dzeng,འཛེང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	We do not have much information on the Dzeng clan. <a href=""/biographies/view/Gonpawa-Wangchuk-Gyeltsen/TBRC_P1322"">Gonpawa Wangchuk Gyeltsen</a> was born into a family from the Dzeng clan in Kham in the eleventh century.</p>",C11MS185,2598
Dzongchung,TOL568,rdzong chung,རྫོང་ཆུང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan in Tibet of which Dzongchungpa <a href=""/biographies/view/Jampa-Dorje-Gyeltsen/TBRC_P5302"">Jampa Dorje Gyeltsen</a> (1424-1498) was a member.</p>",,
Dzongpa,TOL34,rdzong pa,རྫོང་པ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan that is a branch of the Sakya. <a href=""/biographies/view/Dzongpa-Kunga-Namgyel/TBRC_P3183"">Dzongpa Kunga Namgyel</a> (1432-1496) established the Dzongpa tradition of the Sakya lineage.</p>",,
Ga (dga'),TOL1040,dga',དགའ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Ga clan descends from Ga Yeshe Dargye (d.u.), a minister of <a href=""/biographies/view/Tri-Relpachen/TBRC_ P2MS13218"">Tri Relpachen</a>. According to tradition, he was dispatched to Amdo to settle the areas around Ngawa, Zungchu and Dzoge with an army of ten thousand men. The <a href=""/communities/view/Chone-Kings/TBRC_TOL1033"">Chone Kings</a>, who ruled the semi-independent Chone Kingdom in eastern Amdo and later took the Chinese surname Yang, claim descent from Ga Yeshe Dargye. </p>",,3072; 6331; 6334; 6335; 6336; 6337; 6338; 6339; 6341; 6342; 6343; 6344; 6345; 6346; 6348; 6349; 6350; 6353; 13502; 13550
Ga (rgwa),TOL623,rgwa,རྒྭ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	We do not have much information about this clan. The Ga clan's most prominent member was the important translator <a href=""/biographies/view/Ga-Lotsawa-Zhonnu-Pel/TBRC_P3674"">Ga Lotsawa Zhonnu Pel</a>, who was born in Amdo in the early twelfth century.</p>",C11MS207,6037
Gar,TOL675,mgar,མགར།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Gar (also spelled as 'gar) clan originate from the ministers of Newo Trana, one of the twelve kingdoms of pre-imperial Tibet. During the imperial Pugyel period, <a href=""/biographies/view/-Gar-Tongtsen/TBRC_P8117"">Gar Tongtsen</a> was an important minister to <a href=""/biographies/view/King-Songtsen-Gampo/TBRC_P8067"">King Songtsen Gampo</a>. The Gar clan became very powerful and started to threaten the power of the Yarlung dynasty. In 698, the empress <a href=""/biographies/view/Trimalo/TBRC_P3CN364"">Trimalo</a> and her son Tridusong defeated Gar Tongtsen's son, who escaped to China with his followers, and the reign of the councilors of the Gar clan came to an end. The Gar clan continued and became quite widespread, it seems, with many claiming to be the descendant of Minister Gar. Centuries later, the Gar family would gain prominence as lords of the Derge kingdom around the seventeenth century. As in other noble families, rule over the monasteries would pass to the eldest son while a younger brother would marry and continue the familial line. It is also said that the Gar is one of the eighteen divisions of the ancestral <a href=""/communities/view/Go/TBRC_C11MS220 "">Go</a> clan.</p>",C63,8460; 8571; 10824
