Role ID,Office Name,TOL P Member,start_date_century_id,start_date,start_date_approx,start_date_alternate,end_date_century_id,end_date,end_date_approx,end_date_alternate
1030,Artist,2662,,,,,,,,
1030,Artist,3866,,,,,,,,
1030,Artist,4043,,,,,,,,
1030,Artist,5729,,,,,,,,
1030,Artist,6230,,,,,,,,
1030,Artist,7473,,,,,,,,
1030,Artist,8397,,,,,,,,
1030,Artist,10372,,,,,,,,
1030,Artist,10699,,,,,,,,
1030,Artist,13070,,,,,,,,
1030,Artist,13203,,,,,,,,
1030,Artist,13588,,,,,,,,
1030,Artist,13816,,,,,,,,
1030,Artist,13863,,,,,,,,
1031,Translator,84,,,,,,,,
1031,Translator,86,,,,,,,,
1031,Translator,96,,,,,,,,
1031,Translator,303,,,,,,,,
1031,Translator,1370,,,,,,,,
1031,Translator,1726,,,,,,,,
1031,Translator,1728,,,,,,,,
1031,Translator,2029,,,,,,,,
1031,Translator,2104,,,,,,,,
1031,Translator,2137,,,,,,,,
1031,Translator,2730,,,,,,,,
1031,Translator,2823,,,,,,,,
1031,Translator,2845,,,,,,,,
1031,Translator,2948,,,,,,,,
1031,Translator,2949,,,,,,,,
1031,Translator,3660,,,,,,,,
1031,Translator,3736,,,,,,,,
1031,Translator,3753,,,,,,,,
1031,Translator,3866,,,,,,,,
1031,Translator,3936,,,,,,,,
1031,Translator,4086,,,,,,,,
1031,Translator,4261,,,,,,,,
1031,Translator,4354,,,,,,,,
1031,Translator,4642,,,,,,,,
1031,Translator,5234,,,,,,,,
1031,Translator,5386,,,,,,,,
1031,Translator,5401,,,,,,,,
1031,Translator,5461,,,,,,,,
1031,Translator,5500,,,,,,,,
1031,Translator,5527,,,,,,,,
1031,Translator,5615,,,,,,,,
1031,Translator,5652,,,,,,,,
1031,Translator,5750,,,,,,,,
1031,Translator,5801,,,,,,,,
1031,Translator,5803,,,,,,,,
1031,Translator,6037,,,,,,,,
1031,Translator,6076,,,,,,,,
1031,Translator,6194,,,,,,,,
1031,Translator,6275,,,,,,,,
1031,Translator,6367,,,,,,,,
1031,Translator,6374,,,,,,,,
1031,Translator,6405,,,,,,,,
1031,Translator,6678,,,,,,,,
1031,Translator,6681,,,,,,,,
1031,Translator,6733,,,,,,,,
1031,Translator,7064,,,,,,,,
1031,Translator,7473,,,,,,,,
1031,Translator,8342,,,,,,,,
1031,Translator,9030,,,,,,,,
1031,Translator,9121,,,,,,,,
1031,Translator,9482,,,,,,,,
1031,Translator,9624,,,,,,,,
1031,Translator,9985,,,,,,,,
1031,Translator,10199,,,,,,,,
1031,Translator,10699,,,,,,,,
1031,Translator,10881,,,,,,,,
1031,Translator,10892,,,,,,,,
1031,Translator,10900,,,,,,,,
1031,Translator,10904,,,,,,,,
1031,Translator,10908,,,,,,,,
1031,Translator,10911,,,,,,,,
1031,Translator,10970,,,,,,,,
1031,Translator,10980,,,,,,,,
1031,Translator,10981,,,,,,,,
1031,Translator,10982,,,,,,,,
1031,Translator,11117,,,,,,,,
1031,Translator,11285,,,,,,,,
1031,Translator,13057,,,,,,,,
1031,Translator,13065,,,,,,,,
1031,Translator,13066,,,,,,,,
1031,Translator,13072,,,,,,,,
1031,Translator,13077,,,,,,,,
1031,Translator,13241,,,,,,,,
1031,Translator,13611,,,,,,,,
1031,Translator,13627,,,,,,,,
1031,Translator,13628,,,,,,,,
1031,Translator,13631,,,,,,,,
1031,Translator,13634,,,,,,,,
1031,Translator,13636,,,,,,,,
1031,Translator,13638,,,,,,,,
1031,Translator,13642,,,,,,,,
1031,Translator,13698,,,,,,,,
1032,Doctor,2427,,,,,,,,
1032,Doctor,2434,,,,,,,,
1032,Doctor,2639,,,,,,,,
1032,Doctor,2640,,,,,,,,
1032,Doctor,3109,,,,,,,,
1032,Doctor,3168,,,,,,,,
1032,Doctor,3485,,,,,,,,
1032,Doctor,3955,,,,,,,,
1032,Doctor,4080,,,,,,,,
1032,Doctor,4177,,,,,,,,
1032,Doctor,5312,,,,,,,,
1032,Doctor,5313,,,,,,,,
1032,Doctor,5326,,,,,,,,
1032,Doctor,5331,,,,,,,,
1032,Doctor,5641,,,,,,,,
1032,Doctor,5894,,,,,,,,
1032,Doctor,5985,,,,,,,,
1032,Doctor,6278,,,,,,,,
1032,Doctor,6395,,,,,,,,
1032,Doctor,6567,,,,,,,,
1032,Doctor,6568,,,,,,,,
1032,Doctor,6779,,,,,,,,
1032,Doctor,6801,,,,,,,,
1032,Doctor,6892,,,,,,,,
1032,Doctor,6982,,,,,,,,
1032,Doctor,7462,,,,,,,,
1032,Doctor,7521,,,,,,,,
1032,Doctor,7673,,,,,,,,
1032,Doctor,9442,,,,,,,,
1032,Doctor,10315,,,,,,,,
1032,Doctor,11972,,,,,,,,
1032,Doctor,12439,,,,,,,,
1032,Doctor,13533,,,,,,,,
1032,Doctor,13588,,,,,,,,
1032,Doctor,13598,,,,,,,,
1032,Doctor,13693,,,,,,,,
1032,Doctor,13694,,,,,,,,
1032,Doctor,13723,,,,,,,,
1032,Doctor,13731,,,,,,,,
1032,Doctor,13866,,,,,,,,
1035,Treasure Revealer,2232,,,,,,,,
1035,Treasure Revealer,2338,,,,,,,,
1035,Treasure Revealer,2973,,,,,,,,
1035,Treasure Revealer,2992,,,,,,,,
1035,Treasure Revealer,2997,,,,,,,,
1035,Treasure Revealer,3000,,,,,,,,
1035,Treasure Revealer,3006,,,,,,,,
1035,Treasure Revealer,3010,,,,,,,,
1035,Treasure Revealer,3121,,,,,,,,
1035,Treasure Revealer,3485,,,,,,,,
1035,Treasure Revealer,5166,,,,,,,,
1035,Treasure Revealer,5312,,,,,,,,
1035,Treasure Revealer,5457,,,,,,,,
1035,Treasure Revealer,5588,,,,,,,,
1035,Treasure Revealer,5999,,,,,,,,
1035,Treasure Revealer,6065,,,,,,,,
1035,Treasure Revealer,6646,,,,,,,,
1035,Treasure Revealer,7114,,,,,,,,
1035,Treasure Revealer,7164,,,,,,,,
1035,Treasure Revealer,7429,,,,,,,,
1035,Treasure Revealer,7767,,,,,,,,
1035,Treasure Revealer,8181,,,,,,,,
1035,Treasure Revealer,8472,,,,,,,,
1035,Treasure Revealer,8538,,,,,,,,
1035,Treasure Revealer,8549,,,,,,,,
1035,Treasure Revealer,8567,,,,,,,,
1035,Treasure Revealer,8625,,,,,,,,
1035,Treasure Revealer,8630,,,,,,,,
1035,Treasure Revealer,8650,,,,,,,,
1035,Treasure Revealer,8651,,,,,,,,
1035,Treasure Revealer,8750,,,,,,,,
1035,Treasure Revealer,8825,,,,,,,,
1035,Treasure Revealer,8868,,,,,,,,
1035,Treasure Revealer,8923,,,,,,,,
1035,Treasure Revealer,8964,,,,,,,,
1035,Treasure Revealer,8975,,,,,,,,
1035,Treasure Revealer,9083,,,,,,,,
1035,Treasure Revealer,9105,,,,,,,,
1035,Treasure Revealer,9126,,,,,,,,
1035,Treasure Revealer,9158,,,,,,,,
1035,Treasure Revealer,9190,,,,,,,,
1035,Treasure Revealer,9297,,,,,,,,
1035,Treasure Revealer,9572,,,,,,,,
1035,Treasure Revealer,9574,,,,,,,,
1035,Treasure Revealer,9612,,,,,,,,
1035,Treasure Revealer,10019,,,,,,,,
1035,Treasure Revealer,10083,,,,,,,,
1035,Treasure Revealer,10171,,,,,,,,
1035,Treasure Revealer,10301,,,,,,,,
1035,Treasure Revealer,10315,,,,,,,,
1035,Treasure Revealer,10422,,,,,,,,
1035,Treasure Revealer,11231,,,,,,,,
1035,Treasure Revealer,11572,,,,,,,,
1035,Treasure Revealer,11865,,,,,,,,
1035,Treasure Revealer,13072,,,,,,,,
1035,Treasure Revealer,13165,,,,,,,,
1035,Treasure Revealer,13452,,,,,,,,
1035,Treasure Revealer,13588,,,,,,,,
1035,Treasure Revealer,13617,,,,,,,,
1035,Treasure Revealer,13654,,,,,,,,
1035,Treasure Revealer,13817,,,,,,,,
1035,Treasure Revealer,13828,,,,,,,,
1035,Treasure Revealer,13879,,,,,,,,
1116,Military,13690,,,,,,,,
1252,Indian Master,9,,,,,,,,
1252,Indian Master,23,,,,,,,,
1252,Indian Master,2510,,,,,,,,
1252,Indian Master,2810,,,,,,,,
1252,Indian Master,3736,,,,,,,,
1252,Indian Master,5527,,,,,,,,
1252,Indian Master,5717,,,,,,,,
1252,Indian Master,6214,,,,,,,,
1252,Indian Master,6412,,,,,,,,
1252,Indian Master,6723,,,,,,,,
1252,Indian Master,7326,,,,,,,,
1252,Indian Master,7442,,,,,,,,
1252,Indian Master,9985,,,,,,,,
1252,Indian Master,10280,,,,,,,,
1252,Indian Master,10546,,,,,,,,
1252,Indian Master,10892,,,,,,,,
1252,Indian Master,10900,,,,,,,,
1252,Indian Master,10908,,,,,,,,
1252,Indian Master,10911,,,,,,,,
1252,Indian Master,10970,,,,,,,,
1252,Indian Master,13066,,,,,,,,
1252,Indian Master,13627,,,,,,,,
1252,Indian Master,13631,,,,,,,,
1252,Indian Master,13642,,,,,,,,
1319,Desi,3133,,,,,,,,
1319,Desi,3241,,,,,,,,
1319,Desi,3790,,,,,,,,
1319,Desi,5718,,,,,,,,
1319,Desi,6009,,,,,,,,
1319,Desi,6009,,,,,,,,
1319,Desi,6874,,1643,,,,,,
1319,Desi,6979,,,,,,,,
1319,Desi,9164,,,,,,,,
1319,Desi,9166,,,,,,,,
1319,Desi,13217,,,,,,,,
1319,Desi,13614,,,,,,,,
1360,Dapon,4027,,1924,,,,,,
1360,Dapon,276,,,,,,,,
1360,Dapon,2423,,,,,,,,
1360,Dapon,9305,,,,,,,,
1360,Dapon,9333,,,,,,,,
1360,Dapon,9343,,,,,,,,
1360,Dapon,11790,,,,,,,,
1360,Dapon,13561,,,,,,,,
1360,Dapon,13564,,,,,,,,
1360,Dapon,13583,,,,,,,,
1371,Tsedrung,13683,,,,,,,,
1371,Tsedrung,13628,,,,,,,,
1483,Makchi,7929,,,,,,,,
1483,Makchi,9983,,,,,,,,
1483,Makchi,13666,,,,,,,,
1483,Makchi,13722,,,,,,,,
1580,Dome Chikyab,5894,,,,,,,,
1580,Dome Chikyab,13583,,,,,,,,
1581,Rimzhi,5894,,,,,,,,
1581,Rimzhi,13583,,,,,,,,
1582,Neshan,5306,,,,,,,,
1582,Neshan,9289,,,,,,,,
1654,Delok,9172,,,,,,,,
1654,Delok,10319,,,,,,,,
1654,Delok,10320,,,,,,,,
1654,Delok,13616,,,,,,,,
1654,Delok,13815,,,,,,,,
1658,Personal Physician,3109,,,,,,,,
1658,Personal Physician,3955,,,,,,,,
1658,Personal Physician,5326,,,,,,,,
1658,Personal Physician,5894,,,,,,,,
1658,Personal Physician,6567,,,,,,,,
1658,Personal Physician,6801,,,,,,,,
1658,Personal Physician,9442,,,,,,,,
1658,Personal Physician,13693,,,,,,,,
1658,Personal Physician,13694,,,,,,,,
1658,Personal Physician,13731,,,,,,,,
1659,Treasurer,3769,,,,,,,,
1659,Treasurer,6874,,,,,,,,
1659,Treasurer,9301,,,,,,,,
1660,Tutor ,4309,,,,,,,,
1660,Tutor ,7007,,,,,,,,
1661,Governor,334,,1941,,,,,,
1661,Governor,342,,1924,,,,,,
1661,Governor,995,,,,,,,,
1661,Governor,346,,1924,,,,,,
1661,Governor,348,,1924,,,,,,
694,Government Officer,13652,,,,,,,,
695,Kalon,2423,,1943,0,,1961,,1,
695,Kalon,4025,,1914,0,,1921,,0,
695,Kalon,7618,,1932,0,,1938,,0,
695,Kalon,7929,,1915,0,,1930,,0,
695,Kalon,8706,,1900,1,,1903,,0,
695,Kalon,9301,,1894,0,,1903,,0,
695,Kalon,9303,,1902,0,,1903,,0,
695,Kalon,9304,,1903,0,,1907,,0,
695,Kalon,9305,,1903,0,,1912,,0,
695,Kalon,9309,,1904,0,,1914,,0,
695,Kalon,9310,,1912,0,,1913,,0,
695,Kalon,9311,,1913,0,,1914,,0,
695,Kalon,9312,,1914,0,,1935,,1,
695,Kalon,9313,,1921,0,,1932,,0,
695,Kalon,9315,,1929,0,,1931,,0,
695,Kalon,9317,,1932,0,,1943,,0,
695,Kalon,9320,,1934,0,,1945,,0,
695,Kalon,9321,,1938,0,,1946,,0,
695,Kalon,9324,,1945,0,,1949,,0,
695,Kalon,9325,,1946,0,,1952,,0,
695,Kalon,9326,,1949,0,,1957,,0,
695,Kalon,9327,,1950,0,,1959,,0,
695,Kalon,9331,,1957,0,,1959,,0,
695,Kalon,9334,,1893,0,,1901,,0,
695,Kalon,9336,,1881,1,,1891,,0,
695,Kalon,9338,,1878,1,,1898,,0,
695,Kalon,9339,,1876,0,,1891,,0,
695,Kalon,9340,,1873,0,,1878,,1,
695,Kalon,9343,,1871,0,,1896,,0,
695,Kalon,9344,,1870,0,,,,0,
695,Kalon,9345,,1869,0,,1871,,0,
695,Kalon,9550,,1734,1,,1750,,0,
695,Kalon,5306,,,,,,,,
695,Kalon,9333,,,,,,,,
695,Kalon,11790,,,,,,,,
695,Kalon,13226,,,,,,,,
695,Kalon,13545,,,,,,,,
695,Rupon,2424,,,,,,,,
695,Rupon,13521,,,,,,,,
695,Rupon,13522,,,,,,,,
695,Rupon,13523,,,,,,,,