Name,TOL Tradition ID,BDRC T ID,Wylie Name,Chinese,Wikidata ID,Parent,Founder Name,Founder TOL ID,Founder BDRC ID,Description,Notes
Marpa Kagyu,TOL6,T1187,mar pa bka' brgyud,,Q471187,,Marpa Chokyi Lodro,TOLP4354,P2636,"<p> The Marpa Kagyu (<em>mar pa</em> <em>bka’ brgyud</em>) tradition originated in the eleventh century with the Tibetan translator <a href=""/biographies/view/Marpa-Chokyi-Lodro/TBRC_P2636"">Marpa Chokyi Lodro</a>, who studied in India with Nāropa. Marpa’s disciple <a href=""/biographies/view/Milarepa/TBRC_p1853"">Milarepa</a> famously attained enlightenment in the caves of southern Tibet after renouncing a life of violent revenge; his disciple <a href=""/biographies/view/Gampopa/TBRC_p1844"">Gampopa</a> merged the lay siddha practice of his master with the Kadampa monasticism and scholarship that he had previously studied. Gampopa founded the first Kagyu monastery, <a href=""/geographies/view/Daklha-Gampo/TBRC_G197"">Daklha Gampo</a> in southern Tibet. Following Gampopa the tradition split into multiple autonomous subsects known as the four primary (<a href=""https://treasuryoflives.org/tradition/Barom-Kagyu"">Barom</a>, <a href=""http://beta.treasuryoflives.org/tradition/Pakdru-Kagyu"">Pakdru</a>, <a href=""http://beta.treasuryoflives.org/tradition/Karma-Kagyu"">Karma</a>, and <a href=""http://beta.treasuryoflives.org/tradition/Tselpa-Kagyu"">Tselpa</a>), and eight secondary traditions (<a href=""http://beta.treasuryoflives.org/tradition/Drigung-Kagyu"">Drigung</a>, <a href=""http://beta.treasuryoflives.org/tradition/Drukpa-Kagyu"">Drukpa</a>, <a href=""http://beta.treasuryoflives.org/tradition/Martsang-Kagyu"">Martsang</a>, <a href=""http://beta.treasuryoflives.org/tradition/Shukseb-Kagyu"">Shukseb</a>, <a href=""http://beta.treasuryoflives.org/tradition/Taklung-Kagyu"">Taklung</a>, <a href=""http://beta.treasuryoflives.org/tradition/Tropu-Kagyu"">Tropu</a>, <a href=""http://beta.treasuryoflives.org/tradition/Yabzang-Kagyu"">Yabzang</a>, and <a href=""http://beta.treasuryoflives.org/tradition/Yelpa-Kagyu"">Yelpa Kagyu</a>). In addition to the above system, the Ngok (<em>rngog</em>) lineage begun by <a href=""/biographies/view/Ngok-Choku-Dorje/TBRC_P5514"">Ngok Choku Dorje</a>, a disciple of Marpa, was a distinct Marpa Kagyu tradition that existed independently for several centuries. Also often considered an independent tradition was the Rechung Nyengyu (<em>ras chung snyan brgyud</em>), initiated by the disciples of&nbsp; Milarepa’s disciple <a href=""/biographies/view/Rechung-Dorje-Drakpa/TBRC_P4278"">Rechung Dorje Drakpa</a>. The <a href=""https://treasuryoflives.org/tradition/Barawa-Kagyu"">Barawa Kagyu</a> tradition is considered a sub-branch of the Yanggon Kagyu, itself an offshoot of the Upper Drukpa. All Marpa Kagyu traditions claim allegiance to the tantric teachings of the Indian Mahāsiddha tradition, primarily that of Nāropa, in the form of the <em>Six Doctrines of Nā</em><em>ropa</em> (<em>nA</em>&nbsp; <em>ro chos drug</em>) and the doctrine of Mahāmudrā. The Kagyu were also heavily involved in the transmission of the Cakrasaṃvara, Hevajra, among other tantras of the Second Propagation era.</p>",See also T807 -- ask Elie if these are duplicates
Martsang Kagyu,TOL23,T1678,smar tshang bka' brgud,,Q11770752,Marpa Kagyu,Marpa Sherab Yeshe,TOLP3469,P1GS56176,"<p> The Martsang Kagyu was established when <a href=""http://beta.treasuryoflives.org/biographies/view/Marpa-Sherab-Yeshe/TBRC_P1GS56176"">Marpa Sherab Yeshe</a>, a disciple of <a href=""/biographies/view/Pakmodrupa/TBRC_P127"">Pakmodrupa</a>, founded Sho Monastery in 1167, in Markham, Kham. Sherab Yeshe's disciple Drogon Rinchen founded a monastery named Tsomdo, and together the two monasteries serve as the headquarters of the tradition, which is led by the Gangri Karma incarnations. Both monasteries were destroyed by the Mongol invasions of the seventeenth and eighteenth century, and were rebuilt each time.</p> <p> &nbsp;</p>",
Nyingma,TOL5,T1082,rnying ma,宁玛派,Q848771,,,,,"<p> The Nyingma (<em>rnying ma</em>) - literally the ""ancient"" - is considered the oldest tradition of Tibetan Buddhism, although when the disparate institutions and strands of transmission were first conceived as belonging to a singular and coherent entity is not clear. According to legend, the Nyingma teachings were brought to Tibet in the eighth century by <a href=""/biographies/view/Padmasambhava/TBRC_P4956"">Padmasambhava</a>, a tantric ritual specialist invited to Tibet to subjugate native deities that were obstructing the dissemination of Buddhism. Padmasambhava and other Indian masters such as <a href=""/biographies/view/Vimalamitra/TBRC_p7325"">Vimalamitra</a>, and select Tibetan translators such as <a href=""/biographies/view/Vairocana/TBRC_P5013"">Vairocana</a>, propagated the tradition's primary teaching, Dzogchen, a tantric system that has also been adopted to varying degree by other traditions. The Indic scriptures that were translated in the eighth and ninth centuries and the teachings by the masters of that era have come to be known as the ""Kama,"" or spoken word tradition. Since at least the twelfth century Nyingma teachers known as terton, or ""treasure revealers"" have produced new scriptures said to have been concealed by Padmasambhava or others for the benefit of future eras. The Nyingma maintains both lay and monastic traditions, with six mother monasteries: <a href=""/geographies/view/Dorje-Drak/TBRC_g11"">Dorje Drak</a> and <a href=""/geographies/view/Mindroling/TBRC_g14"">Mindroling</a> in central Tibet, and <a href=""/geographies/view/Katok/TBRC_g17"">Katok</a>, <a href=""/geographies/view/Pelyul/TBRC_g18"">Pelyul</a>, <a href=""/geographies/view/Dzogchen/TBRC_g16"">Dzogchen</a> and <a href=""/geographies/view/Zhechen/TBRC_g20"">Zhechen</a> in Kham.</p>",
Orgyen Nyendrub,TOL38,T1542,o rgyan bsnyen sgrub,邬坚宁竹,,,Orgyenpa Rinchen Pel,TOLP2733,P1448,"<p>The Orgyen Nyendrub<strong> </strong>(<em>o rgyan bsnyan sgrub</em>) is a tantric tradition that was included by <a href=""/biographies/view/Jamgon-Kongtrul/TBRC_P264"">Jamgon Kongtrul</a> in his “Eight Chariots of the Practice Lineage” doxography, but which never developed a distinct institutional identity. It is also known as the Dorje Sumgyi Nyendrub (<em>rdo rje gsum gyi bsnyen grub</em>). Kongtrul credited its origin to the thirteenth century when <a href=""/biographies/view/Orgyenpa-Rinchen-Pel/TBRC_P1448"">Orgyenpa Rinchen Pel</a>, a disciple of the Drukpa Kagyu Lama <a href=""/biographies/view/Gotsangpa-Gonpo-Dorje/TBRC_p2090"">Gotsangpa Gonpo Dorje</a> and of the <a href=""/biographies/view/Second-Karmapa,-Karma-Pakshi/TBRC_p1487"">Second Karmapa, Karma Pakshi</a>. Orgyenpa traveled twice to India, first in the north to Oḍḍiyāna, Kashmir and Ladakh, and then later to Vajrāsana. He passed on his teaching to disciples in the Drukpa and Karma Kagyu tradition.</p>",
Pakdru Kagyu,TOL19,T1385,phag gru bka' brgyud,,,Marpa Kagyu,Pakmodrupa Dorje Gyelpo,TOLP2539,P127,"<p> The Pakdru Kagyu refers to the tradition based at <a href=""/geographies/view/Densatil-Monastery/TBRC_G434"">Densatil Monastery</a>, the seat of <a href=""/biographies/view/Pakmodrupa-Dorje-Gyelpo/TBRC_P127"">Pakmodrupa Dorje Gyelpo</a>, which he established in 1158. A student of <a href=""/biographies/view/Sachen-Kunga-Nyingpo/TBRC_P1615"">Sachen Kunga Nyingpo</a>, Pakmodrupa combined elements of Sakya tradition into the teachings he received from <a href=""/biographies/view/Gampopa/TBRC_p1844"">Gampopa</a>. Pakmodrupa's disciples established what are customarily listed as the eight secondary Kagyu traditions: <a href=""http://beta.treasuryoflives.org/tradition/Drigung"">Drigung</a>, <a href=""http://beta.treasuryoflives.org/tradition/Drukpa-Kagyu"">Drukpa</a>, <a href=""http://beta.treasuryoflives.org/tradition/Martsang-Kagyu"">Martsang</a>, <a href=""http://beta.treasuryoflives.org/tradition/Shukseb-Kagyu"">Shukseb</a>, <a href=""http://beta.treasuryoflives.org/tradition/Taklung-Kagyu"">Taklung</a>, <a href=""http://beta.treasuryoflives.org/tradition/Tropu-Kagyu"">Tropu</a>, <a href=""http://beta.treasuryoflives.org/tradition/Yabzang-Kagyu"">Yabzang</a>, and <a href=""http://beta.treasuryoflives.org/tradition/Yelpa-Kagyu"">Yelpa Kagyu</a>. Following the collapse of the Yuan-Sakya period in the late fourteenth century, the Lang family that controlled Densatil ruled Tibet for roughly a hundred years, a period known as the Pakmodru Dynasty. However, at the time the Lang family patronized multiple traditions, including the Geluk, and should not be thought of as advocates of Pakmo Kagyu.</p>",
Sakya,TOL7,T617,sa skya,萨迦派,Q650035,,Khon Konchok Gyelpo,TOLP6100,P3730,"<p> The Sakya tradition developed in the eleventh century in the Khon family of Tsang, which maintained an Imperial-era lineage of Vajrakīla and which adopted a new teaching from India known as <em>Lamdre</em>.</p>",
Shangpa Kagyu,TOL196,T383,shangs pa bka' brgyud,香巴噶举派,Q365116,,Khyungpo Neljor,TOLP6285,P39,"<p> The Shangpa Kagyu (<em>shangs pa bka’ brgyud</em>) tradition was initiated in the eleventh century by <a href=""/biographies/view/Khyungpo-Neljor/TBRC_p39"">Khyungpo Neljor</a>, who received the Mahāmudrā teachings in India from Niguma, the wife or sister of Nāropa. He established the monastery of <a href=""/geographies/view/Zhangzhang-Dorje-Den/TBRC_G4783"">Zhangzhong Dorjeden</a> in the Shang valley in Tsang. A single line of transmission, said to have been initiated by the Buddha Vajradhara and taught first to Niguma, and which passed from Khyungpo Neljor through <a href=""/biographies/view/Mokchokpa/TBRC_P1984"">Mokchokpa</a>, <a href=""/biographies/view/Wonton-Kyergangwa-Chokyi-Sengge/TBRC_P1783"">Wonton Kyergangwa Chokyi Sengge</a>, <a href=""/biographies/view/Nyenton-Rigung-Chokyi-Sherab/TBRC_P2248"">Nyenton Rigung Chokyi Sherab</a>, and <a href=""/biographies/view/Sanggye-Tonpa-Tsondru-Senge/TBRC_p95"">Sanggye Tonpa Tsondru Senge</a>, was known as the transmission of the seven precious Shangpa. In the thirteenth century Sanggye Tonpa passed the lineage on to multiple disciples and the Shangpa teachings were written down. The Shangpa lineages were largely absorbed into the institutional organizations of the Marpa Kagyu, Geluk, Sakya and Jonang, although it was partially revived in the nineteenth century by <a href=""/biographies/view/Jamgon-Kongtrul/TBRC_P264"">Jamgon Kongtrul</a>; his two personal hermitages, <a href=""/geographies/view/Tsadra-Rinchen-Drak/TBRC_G37"">Tsadra Rinchen Drak</a> and <a href=""/geographies/view/Dzongsho-Deshek-Dupa/TBRC_G3828"">Dzongsho Deshek Dupa</a> are both Shangpa Kagyu institutions. The Shangpa teachings are known as the Five Golden Doctrines, which include the Nigu Chodruk, a grouping similar to the Nāro Chodruk of the Marpa Kagyu. &nbsp;</p>",
Shukseb Kagyu,TOL48,T2MS13227,shug gseb bka' brgyud,,,Marpa Kagyu,Gyergom Tsultrim Sengge,TOLP5,P00AG02484,"<p> The Shukseb Kagyu, one of the eight sub-branches of the Kagyu tradition,&nbsp;was founded by <a href=""/biographies/view/Gyergom-Tsultrim-Sengge/TBRC_P00AG02484"">Gyergom Tsultrim Sengge</a>, a student of <a href=""/biographies/view/Pakmodrupa-Dorje-Gyelpo/TBRC_P127"">Pakmodrupa Dorje Gyelpo</a>. The Shukseb lineage is named after <a href=""/geographies/view/Shukseb-Monastery/TBRC_G521"">Shukseb Monastery</a>, which Gyergom founded in 1181. Its teachings were based on the <em>do ha</em> cycles trasmitted to Tibet that originated with Indian masters including Tilopa and Naropa.</p>",
Taklung Kagyu,TOL45,T869,stag lung bka' brgyud,,Q2388143,Marpa Kagyu,Taklungtangpa Tashi Pel,TOLP4368,P2649,"<p> The Taklung Kagyu tradition was established by <a href=""/biographies/view/Taklungtangpa-Tashi-Pel-/TBRC_P2649"">Taklungtangpa Tashi Pel</a>, a disciple of <a href=""/biographies/view/Pakmodrupa-Dorje-Gyelpo/TBRC_P127"">Pakmodrupa Dorje Gyelpo</a>, who founded&nbsp;<a href=""/geographies/view/Taklung-Monastery/TBRC_G67"">Taklung Monastery</a> in 1180. In 1276 <a href=""/biographies/view/Sanggye-Won/TBRC_P1019"">Sanggye Won</a>, who was forced from the abbacy of Taklung Monastery, went to Kham and established <a href=""/geographies/view/Riwoche/TBRC_G1019"">Riwoche</a>, which became a second seat of the tradition.Beginning in the fifteenth century, Taklung Kagyu began to be strongly influenced by Nyingma teachings.</p>",
Tropu Kagyu,TOL1034,T2MS13225,khro phu bka' brgyud,,Q2429665,Marpa Kagyu,Tropu Gyeltsa Rinchen Gon,TOLP2799,P1508,"<p> The Tropu Kagyu tradition, one of the eight minor Kagyu lineages, was founded by&nbsp;<a href=""/biographies/view/Gyaltsa-Rinchen-Gonpo/TBRC_P1508"">Gyeltsa Rinchen Gonpo</a>, a disciple of <a href=""/biographies/view/Pakmodrupa/TBRC_P127"">Pakmodrupa</a>, in the twelfth century. Rinchen Gonpo founded <a href=""/geographies/view/Tropu/TBRC_G279"">Tropu</a> monastery, which became the seat of the tradition.&nbsp;The acclaimed translator <a href=""/biographies/view/Tropu-Lotsawa-Jampa-Pel/TBRC_P4007"">Tropu Lotsāwa Jampa Pel</a>, Rinchen Gonpo's nephew, would eventually establish the Tropu Kagyu as a distinct lineage.</p>",
Tselpa Kagyu,TOL17,T1387,tshal pa bka' brgyud,維基媒體分類,Q86807211,Marpa Kagyu,Zhang Yudrakpa Tsondru Drakpa,TOLP3182,P1857,"<p> The Tselpa Kagyu tradition, one of the four major lineages of the Kagyu tradition, was founded in the twelfth century by <a href=""/biographies/view/Zhang-Yudrakpa-Tsondru-Drakpa/TBRC_P1857"">Zhang Yudrakpa</a>, also known as Lama Zhang. The seat was at <a href=""/geographies/view/Tsel-Guntang/TBRC_G30"">Tsel Guntang</a>, north of Lhasa.&nbsp; Important figures include <a href=""/biographies/view/Dungtso-Repa-Sherap-Gyeltsen/TBRC_P1801"">Dungtso Repa Sherap Gyeltsen</a> who revealed teachings of <a href=""/biographies/view/Gampopa/TBRC_P1844"">Gampopa</a>. The tradition was absorbed by the Geluk school in the fifteenth century and its monasteries were converted.&nbsp;</p>",
Yabzang Kagyu,TOL1130,T2MS13229,g.ya' bzang bka' brgyud,,,Marpa Kagyu,Zarawa Kelden Yeshe Sengge,TOLP6756,P4329,"<p> The Yabzang Kagyu, one of the eight minor Kagyu lineages, was founded in the twelfth century by <a href=""/biographies/view/Pakmodrupa/TBRC_P127"">Pakmodrupa</a>'s disciple <a href=""/biographies/view/Zarawa-Kelden-Yeshe-Sengge/TBRC_P4329"">Zarawa Kelden Yeshe Sengge</a>, whose student <a href=""/biographies/view/Yabzang-Choje-Chokyi-Monlam/TBRC_P4322"">Yabzang Choje Chokyi Monlam</a> systematized the teachings of Zarawa to form the basis of the tradition. <a href=""/geographies/view/Yabzang/TBRC_G444"">Yabzang</a> and <a href=""/geographies/view/Zara/TBRC_G00AG02483"">Zara</a> were important Yabzang Kagyu monasteries. Neither monasteries flourished for very long, and the Yabzang Kagyu teachings were absorbed into other traditions.</p>",
Yelpa Kagyu,TOL28,T1186,yel pa bka' brgyud,,Q2600040,Marpa Kagyu,Yelpa Yeshe Tsek,TOLP7636,P5132,"<p> The Yelpa Kagyu tradition was established by <a href=""/biographies/view/Yelpa-Yeshe-Tsek/TBRC_P5132"">Yelpa Yeshe Tsek</a>, a disciple of <a href=""/biographies/view/Pakmodrupa/TBRC_P127"">Pakmodrupa</a>. It thus counts as on of the ""minor branches"" in that it stems from the students of Pakmodrupa rather than <a href=""/biographies/view/Gampopa/TBRC_p1844"">Gampopa</a>. Yeshe Tsek established multiple monasteries, chief among them being <a href=""/geographies/view/Shar-Yelpuk/TBRC_g488"">Shar Yelpuk</a> in 1171, which served as the seat of the tradition.</p>",
Zhije and Chod,TOL710,T194,zhi byed dang gcod,施身法,Q516265,,"Padampa Sanggye, Machik Labdron","TOLP5644, TOLP2510","P3312, P1243","<p> The Zhije (<em>zhi byed</em>) and Chod (<em>gcod</em>) lineages weave in and out of almost all institutionally independent traditions of Tibetan Buddhism, although they themselves never became the established dominant tenet system of any monastery. The Zhije lineage in Tibet originated with the Indian master <a href=""/biographies/view/Padampa-Sanggye/TBRC_p1243"">Padampa Sanggye</a>, who is said to have visited Tibet five times. He had a number of disciples in the Tingri area of Tibet, to whom he taught his method of pacifying suffering. Padampa Sanggye also taught a method for cutting through demonic obstruction to his relative <a href=""/biographies/view/Kyoton-Sonam-Lama/TBRC_P3311"">Kyoton Sonam Lama</a>, who transmitted it to <a href=""/biographies/view/Machik-Labdron/TBRC_P3312"">Machik Labdron</a>. Her lineage of Chod, which she passed down to her children, came to be known as “Mother Chod” in contrast to the lineage stemming from Padampa Sanggye, which is known as “Father Chod.” Additional Chod developed, including one stemming from treasure revelations (“Treasure Chod”), the Gyeltang Chod, stemming from Machik Labdron’s disciple <a href=""/biographies/view/Gyeltang-Samten-Ozer/TBRC_P8756"">Gyeltang Samten Ozer</a>, and the Zurmang Chod, transmitted by Rangjung Zhabla Ngawa.</p>",